Country,Date,search_index
Canada,2020-01-26,6.0
Canada,2020-02-02,2.0
Canada,2020-02-09,4.0
Canada,2020-02-16,2.0
Canada,2020-02-23,6.0
Canada,2020-03-01,11.0
Canada,2020-03-08,49.0
Canada,2020-03-15,100.0
Canada,2020-03-22,69.0
Canada,2020-03-29,49.0
Canada,2020-04-05,28.0
Canada,2020-04-12,35.0
Canada,2020-04-19,30.0
Canada,2020-04-26,18.0
Canada,2020-05-03,19.0
Canada,2020-05-10,26.0
Canada,2020-05-17,29.0
Canada,2020-05-24,25.0
Canada,2020-05-31,15.0
Canada,2020-06-07,17.0
Canada,2020-06-14,22.0
Canada,2020-06-21,23.0
Canada,2020-06-28,13.0
Canada,2020-07-05,18.0
Canada,2020-07-12,24.0
Canada,2020-07-19,22.0
Canada,2020-07-26,19.0
Canada,2020-08-02,14.0
Canada,2020-08-09,20.0
Canada,2020-08-16,15.0
Canada,2020-08-23,19.0
Canada,2020-08-30,12.0
Canada,2020-09-06,13.0
Canada,2020-09-13,18.0
Canada,2020-09-20,16.0
Canada,2020-09-27,21.0
Canada,2020-10-04,18.0
Canada,2020-10-11,22.0
Canada,2020-10-18,23.0
Canada,2020-10-25,20.0
Canada,2020-11-01,21.0
Canada,2020-11-08,22.0
Canada,2020-11-15,17.0
Canada,2020-11-22,18.0
Canada,2020-11-29,24.0
Canada,2020-12-06,14.0
Canada,2020-12-13,23.0
Canada,2020-12-20,17.0
Canada,2020-12-27,19.0
Canada,2021-01-03,12.0
Canada,2021-01-10,19.0
Canada,2021-01-17,17.0
Canada,2021-01-24,22.0
Canada,2021-01-31,14.0
Canada,2021-02-07,19.0
Canada,2021-02-14,23.0
Canada,2021-02-21,25.0
Canada,2021-02-28,26.0
Canada,2021-03-07,18.0
Canada,2021-03-14,17.0
Canada,2021-03-21,10.0
Canada,2021-03-28,16.0
Canada,2021-04-04,16.0
Canada,2021-04-11,21.0
Canada,2021-04-18,16.0
Canada,2021-04-25,28.0
Canada,2021-05-02,14.0
Canada,2021-05-09,16.0
Canada,2021-05-16,18.0
Canada,2021-05-23,17.0
Canada,2021-05-30,19.0
Canada,2021-06-06,11.0
Canada,2021-06-13,12.0
Canada,2021-06-20,10.0
Canada,2021-06-27,11.0
Canada,2021-07-04,11.0
Canada,2021-07-11,10.0
Canada,2021-07-18,15.0
Canada,2021-07-25,12.0
Canada,2021-08-01,22.0
Canada,2021-08-08,13.0
Canada,2021-08-15,10.0
Canada,2021-08-22,12.0
Canada,2021-08-29,12.0
Canada,2021-09-05,10.0
Canada,2021-09-12,11.0
Canada,2021-09-19,16.0
Canada,2021-09-26,10.0
Canada,2021-10-03,16.0
Canada,2021-10-10,12.0
Canada,2021-10-17,18.0
Canada,2021-10-24,11.0
Canada,2021-10-31,11.0
Canada,2021-11-07,13.0
Canada,2021-11-14,16.0
Canada,2021-11-21,18.0
Canada,2021-11-28,18.0
Canada,2021-12-05,15.0
Canada,2021-12-12,19.0
Canada,2021-12-19,15.0
Canada,2021-12-26,11.0
Canada,2022-01-02,24.0
Canada,2022-01-09,19.0
Canada,2022-01-16,19.0
Canada,2022-01-23,18.0
Canada,2022-01-30,18.0
Canada,2022-02-06,16.0
Canada,2022-02-13,16.0
Canada,2022-02-20,24.0
Canada,2022-02-27,26.0
Canada,2022-03-06,17.0
Canada,2022-03-13,12.0
Canada,2022-03-20,25.0
Canada,2022-03-27,18.0
Canada,2022-04-03,21.0
Canada,2022-04-10,17.0
