Country,Date,search_index
China HongKong,2020-01-26,10.0
China HongKong,2020-02-02,11.0
China HongKong,2020-02-09,45.0
China HongKong,2020-02-16,31.0
China HongKong,2020-02-23,18.0
China HongKong,2020-03-01,11.0
China HongKong,2020-03-08,12.0
China HongKong,2020-03-15,21.0
China HongKong,2020-03-22,41.0
China HongKong,2020-03-29,32.0
China HongKong,2020-04-05,32.0
China HongKong,2020-04-12,16.0
China HongKong,2020-04-19,16.0
China HongKong,2020-04-26,13.0
China HongKong,2020-05-03,13.0
China HongKong,2020-05-10,10.0
China HongKong,2020-05-17,3.0
China HongKong,2020-05-24,8.0
China HongKong,2020-05-31,7.0
China HongKong,2020-06-07,6.0
China HongKong,2020-06-14,5.0
China HongKong,2020-06-21,4.0
China HongKong,2020-06-28,2.0
China HongKong,2020-07-05,15.0
China HongKong,2020-07-12,76.0
China HongKong,2020-07-19,100.0
China HongKong,2020-07-26,64.0
China HongKong,2020-08-02,38.0
China HongKong,2020-08-09,34.0
China HongKong,2020-08-16,60.0
China HongKong,2020-08-23,21.0
China HongKong,2020-08-30,11.0
China HongKong,2020-09-06,12.0
China HongKong,2020-09-13,8.0
China HongKong,2020-09-20,4.0
China HongKong,2020-09-27,5.0
China HongKong,2020-10-04,6.0
China HongKong,2020-10-11,16.0
China HongKong,2020-10-18,6.0
China HongKong,2020-10-25,3.0
China HongKong,2020-11-01,5.0
China HongKong,2020-11-08,5.0
China HongKong,2020-11-15,13.0
China HongKong,2020-11-22,19.0
China HongKong,2020-11-29,30.0
China HongKong,2020-12-06,19.0
China HongKong,2020-12-13,11.0
China HongKong,2020-12-20,9.0
China HongKong,2020-12-27,9.0
China HongKong,2021-01-03,14.0
China HongKong,2021-01-10,14.0
China HongKong,2021-01-17,15.0
China HongKong,2021-01-24,7.0
China HongKong,2021-01-31,6.0
China HongKong,2021-02-07,10.0
China HongKong,2021-02-14,9.0
China HongKong,2021-02-21,5.0
China HongKong,2021-02-28,3.0
China HongKong,2021-03-07,6.0
China HongKong,2021-03-14,4.0
China HongKong,2021-03-21,6.0
China HongKong,2021-03-28,2.0
China HongKong,2021-04-04,3.0
China HongKong,2021-04-11,8.0
China HongKong,2021-04-18,6.0
China HongKong,2021-04-25,5.0
China HongKong,2021-05-02,2.0
China HongKong,2021-05-09,5.0
China HongKong,2021-05-16,3.0
China HongKong,2021-05-23,6.0
China HongKong,2021-05-30,4.0
China HongKong,2021-06-06,4.0
China HongKong,2021-06-13,3.0
China HongKong,2021-06-20,3.0
China HongKong,2021-06-27,5.0
China HongKong,2021-07-04,1.0
China HongKong,2021-07-11,6.0
China HongKong,2021-07-18,5.0
China HongKong,2021-07-25,6.0
China HongKong,2021-08-01,3.0
China HongKong,2021-08-08,5.0
China HongKong,2021-08-15,3.0
China HongKong,2021-08-22,3.0
China HongKong,2021-08-29,3.0
China HongKong,2021-09-05,4.0
China HongKong,2021-09-12,3.0
China HongKong,2021-09-19,2.0
China HongKong,2021-09-26,2.0
China HongKong,2021-10-03,3.0
China HongKong,2021-10-10,12.0
China HongKong,2021-10-17,4.0
China HongKong,2021-10-24,4.0
China HongKong,2021-10-31,4.0
China HongKong,2021-11-07,1.0
China HongKong,2021-11-14,1.0
China HongKong,2021-11-21,3.0
China HongKong,2021-11-28,2.0
China HongKong,2021-12-05,2.0
China HongKong,2021-12-12,3.0
China HongKong,2021-12-19,3.0
China HongKong,2021-12-26,2.0
China HongKong,2022-01-02,16.0
China HongKong,2022-01-09,45.0
China HongKong,2022-01-16,13.0
China HongKong,2022-01-23,25.0
China HongKong,2022-01-30,19.0
China HongKong,2022-02-06,46.0
China HongKong,2022-02-13,43.0
China HongKong,2022-02-20,39.0
China HongKong,2022-02-27,38.0
China HongKong,2022-03-06,34.0
China HongKong,2022-03-13,25.0
China HongKong,2022-03-20,21.0
China HongKong,2022-03-27,14.0
China HongKong,2022-04-03,15.0
China HongKong,2022-04-10,10.0
