Country,Date,search_index
United Arab Emirates,2020-01-26,0.0
United Arab Emirates,2020-02-02,0.0
United Arab Emirates,2020-02-09,0.0
United Arab Emirates,2020-02-16,6.0
United Arab Emirates,2020-02-23,0.0
United Arab Emirates,2020-03-01,3.0
United Arab Emirates,2020-03-08,27.0
United Arab Emirates,2020-03-15,100.0
United Arab Emirates,2020-03-22,57.0
United Arab Emirates,2020-03-29,54.0
United Arab Emirates,2020-04-05,35.0
United Arab Emirates,2020-04-12,27.0
United Arab Emirates,2020-04-19,30.0
United Arab Emirates,2020-04-26,23.0
United Arab Emirates,2020-05-03,37.0
United Arab Emirates,2020-05-10,34.0
United Arab Emirates,2020-05-17,17.0
United Arab Emirates,2020-05-24,24.0
United Arab Emirates,2020-05-31,11.0
United Arab Emirates,2020-06-07,8.0
United Arab Emirates,2020-06-14,14.0
United Arab Emirates,2020-06-21,14.0
United Arab Emirates,2020-06-28,20.0
United Arab Emirates,2020-07-05,3.0
United Arab Emirates,2020-07-12,9.0
United Arab Emirates,2020-07-19,16.0
United Arab Emirates,2020-07-26,13.0
United Arab Emirates,2020-08-02,10.0
United Arab Emirates,2020-08-09,9.0
United Arab Emirates,2020-08-16,19.0
United Arab Emirates,2020-08-23,28.0
United Arab Emirates,2020-08-30,21.0
United Arab Emirates,2020-09-06,6.0
United Arab Emirates,2020-09-13,0.0
United Arab Emirates,2020-09-20,3.0
United Arab Emirates,2020-09-27,8.0
United Arab Emirates,2020-10-04,6.0
United Arab Emirates,2020-10-11,6.0
United Arab Emirates,2020-10-18,12.0
United Arab Emirates,2020-10-25,6.0
United Arab Emirates,2020-11-01,22.0
United Arab Emirates,2020-11-08,3.0
United Arab Emirates,2020-11-15,12.0
United Arab Emirates,2020-11-22,12.0
United Arab Emirates,2020-11-29,16.0
United Arab Emirates,2020-12-06,16.0
United Arab Emirates,2020-12-13,7.0
United Arab Emirates,2020-12-20,10.0
United Arab Emirates,2020-12-27,7.0
United Arab Emirates,2021-01-03,18.0
United Arab Emirates,2021-01-10,12.0
United Arab Emirates,2021-01-17,17.0
United Arab Emirates,2021-01-24,15.0
United Arab Emirates,2021-01-31,12.0
United Arab Emirates,2021-02-07,14.0
United Arab Emirates,2021-02-14,3.0
United Arab Emirates,2021-02-21,9.0
United Arab Emirates,2021-02-28,6.0
United Arab Emirates,2021-03-07,10.0
United Arab Emirates,2021-03-14,9.0
United Arab Emirates,2021-03-21,13.0
United Arab Emirates,2021-03-28,4.0
United Arab Emirates,2021-04-04,7.0
United Arab Emirates,2021-04-11,6.0
United Arab Emirates,2021-04-18,3.0
United Arab Emirates,2021-04-25,15.0
United Arab Emirates,2021-05-02,6.0
United Arab Emirates,2021-05-09,7.0
United Arab Emirates,2021-05-16,6.0
United Arab Emirates,2021-05-23,10.0
United Arab Emirates,2021-05-30,3.0
United Arab Emirates,2021-06-06,10.0
United Arab Emirates,2021-06-13,0.0
United Arab Emirates,2021-06-20,6.0
United Arab Emirates,2021-06-27,0.0
United Arab Emirates,2021-07-04,7.0
United Arab Emirates,2021-07-11,7.0
United Arab Emirates,2021-07-18,12.0
United Arab Emirates,2021-07-25,7.0
United Arab Emirates,2021-08-01,11.0
United Arab Emirates,2021-08-08,7.0
United Arab Emirates,2021-08-15,4.0
United Arab Emirates,2021-08-22,4.0
United Arab Emirates,2021-08-29,14.0
United Arab Emirates,2021-09-05,3.0
United Arab Emirates,2021-09-12,10.0
United Arab Emirates,2021-09-19,3.0
United Arab Emirates,2021-09-26,13.0
United Arab Emirates,2021-10-03,6.0
United Arab Emirates,2021-10-10,0.0
United Arab Emirates,2021-10-17,10.0
United Arab Emirates,2021-10-24,9.0
United Arab Emirates,2021-10-31,0.0
United Arab Emirates,2021-11-07,6.0
United Arab Emirates,2021-11-14,12.0
United Arab Emirates,2021-11-21,0.0
United Arab Emirates,2021-11-28,3.0
United Arab Emirates,2021-12-05,7.0
United Arab Emirates,2021-12-12,3.0
United Arab Emirates,2021-12-19,0.0
United Arab Emirates,2021-12-26,14.0
United Arab Emirates,2022-01-02,25.0
United Arab Emirates,2022-01-09,12.0
United Arab Emirates,2022-01-16,28.0
United Arab Emirates,2022-01-23,6.0
United Arab Emirates,2022-01-30,10.0
United Arab Emirates,2022-02-06,0.0
United Arab Emirates,2022-02-13,3.0
United Arab Emirates,2022-02-20,6.0
United Arab Emirates,2022-02-27,6.0
United Arab Emirates,2022-03-06,0.0
United Arab Emirates,2022-03-13,13.0
United Arab Emirates,2022-03-20,0.0
United Arab Emirates,2022-03-27,3.0
United Arab Emirates,2022-04-03,6.0
United Arab Emirates,2022-04-10,3.0
