Category: All categories

Week,export: (Switzerland)
2020-01-26,90
2020-02-02,89
2020-02-09,100
2020-02-16,97
2020-02-23,80
2020-03-01,100
2020-03-08,78
2020-03-15,73
2020-03-22,71
2020-03-29,84
2020-04-05,83
2020-04-12,92
2020-04-19,84
2020-04-26,87
2020-05-03,93
2020-05-10,88
2020-05-17,84
2020-05-24,91
2020-05-31,86
2020-06-07,82
2020-06-14,86
2020-06-21,84
2020-06-28,97
2020-07-05,98
2020-07-12,91
2020-07-19,79
2020-07-26,78
2020-08-02,73
2020-08-09,84
2020-08-16,89
2020-08-23,85
2020-08-30,87
2020-09-06,75
2020-09-13,90
2020-09-20,90
2020-09-27,88
2020-10-04,94
2020-10-11,77
2020-10-18,74
2020-10-25,71
2020-11-01,68
2020-11-08,75
2020-11-15,83
2020-11-22,88
2020-11-29,83
2020-12-06,84
2020-12-13,67
2020-12-20,50
2020-12-27,50
2021-01-03,74
2021-01-10,90
2021-01-17,75
2021-01-24,81
2021-01-31,74
2021-02-07,66
2021-02-14,77
2021-02-21,84
2021-02-28,73
2021-03-07,73
2021-03-14,74
2021-03-21,69
2021-03-28,65
2021-04-04,59
2021-04-11,65
2021-04-18,77
2021-04-25,72
2021-05-02,80
2021-05-09,74
2021-05-16,74
2021-05-23,79
2021-05-30,77
2021-06-06,67
2021-06-13,63
2021-06-20,65
2021-06-27,55
2021-07-04,53
2021-07-11,59
2021-07-18,65
2021-07-25,57
2021-08-01,63
2021-08-08,78
2021-08-15,62
2021-08-22,79
2021-08-29,59
2021-09-05,69
2021-09-12,56
2021-09-19,84
2021-09-26,72
2021-10-03,83
2021-10-10,72
2021-10-17,83
2021-10-24,82
2021-10-31,73
2021-11-07,77
2021-11-14,71
2021-11-21,69
2021-11-28,75
2021-12-05,78
2021-12-12,63
2021-12-19,62
2021-12-26,47
2022-01-02,65
2022-01-09,72
2022-01-16,74
2022-01-23,82
2022-01-30,80
2022-02-06,85
2022-02-13,69
2022-02-20,89
2022-02-27,90
2022-03-06,96
2022-03-13,88
2022-03-20,92
2022-03-27,71
2022-04-03,76
2022-04-10,79
