Category: All categories

Week,export: (Vietnam)
2020-01-26,47
2020-02-02,56
2020-02-09,60
2020-02-16,74
2020-02-23,70
2020-03-01,79
2020-03-08,83
2020-03-15,79
2020-03-22,72
2020-03-29,85
2020-04-05,94
2020-04-12,87
2020-04-19,89
2020-04-26,62
2020-05-03,93
2020-05-10,93
2020-05-17,95
2020-05-24,88
2020-05-31,100
2020-06-07,91
2020-06-14,95
2020-06-21,86
2020-06-28,79
2020-07-05,88
2020-07-12,84
2020-07-19,81
2020-07-26,85
2020-08-02,84
2020-08-09,80
2020-08-16,90
2020-08-23,84
2020-08-30,80
2020-09-06,88
2020-09-13,78
2020-09-20,88
2020-09-27,86
2020-10-04,73
2020-10-11,75
2020-10-18,68
2020-10-25,87
2020-11-01,64
2020-11-08,75
2020-11-15,66
2020-11-22,74
2020-11-29,67
2020-12-06,71
2020-12-13,75
2020-12-20,64
2020-12-27,56
2021-01-03,59
2021-01-10,79
2021-01-17,69
2021-01-24,78
2021-01-31,69
2021-02-07,33
2021-02-14,46
2021-02-21,65
2021-02-28,62
2021-03-07,67
2021-03-14,69
2021-03-21,78
2021-03-28,90
2021-04-04,75
2021-04-11,67
2021-04-18,70
2021-04-25,65
2021-05-02,77
2021-05-09,74
2021-05-16,94
2021-05-23,68
2021-05-30,69
2021-06-06,80
2021-06-13,71
2021-06-20,71
2021-06-27,60
2021-07-04,58
2021-07-11,68
2021-07-18,72
2021-07-25,60
2021-08-01,58
2021-08-08,63
2021-08-15,58
2021-08-22,64
2021-08-29,54
2021-09-05,64
2021-09-12,61
2021-09-19,60
2021-09-26,67
2021-10-03,63
2021-10-10,56
2021-10-17,59
2021-10-24,64
2021-10-31,74
2021-11-07,66
2021-11-14,64
2021-11-21,68
2021-11-28,62
2021-12-05,75
2021-12-12,50
2021-12-19,61
2021-12-26,69
2022-01-02,66
2022-01-09,53
2022-01-16,62
2022-01-23,59
2022-01-30,28
2022-02-06,54
2022-02-13,51
2022-02-20,49
2022-02-27,62
2022-03-06,59
2022-03-13,64
2022-03-20,73
2022-03-27,61
2022-04-03,77
2022-04-10,63
