Country,Date,search_index
Iran,2020-01-26,40.0
Iran,2020-02-02,40.0
Iran,2020-02-09,39.0
Iran,2020-02-16,38.0
Iran,2020-02-23,35.0
Iran,2020-03-01,36.0
Iran,2020-03-08,38.0
Iran,2020-03-15,38.0
Iran,2020-03-22,46.0
Iran,2020-03-29,44.0
Iran,2020-04-05,45.0
Iran,2020-04-12,48.0
Iran,2020-04-19,60.0
Iran,2020-04-26,55.0
Iran,2020-05-03,62.0
Iran,2020-05-10,53.0
Iran,2020-05-17,50.0
Iran,2020-05-24,57.0
Iran,2020-05-31,56.0
Iran,2020-06-07,100.0
Iran,2020-06-14,69.0
Iran,2020-06-21,63.0
Iran,2020-06-28,82.0
Iran,2020-07-05,68.0
Iran,2020-07-12,64.0
Iran,2020-07-19,96.0
Iran,2020-07-26,63.0
Iran,2020-08-02,64.0
Iran,2020-08-09,70.0
Iran,2020-08-16,72.0
Iran,2020-08-23,56.0
Iran,2020-08-30,55.0
Iran,2020-09-06,60.0
Iran,2020-09-13,55.0
Iran,2020-09-20,48.0
Iran,2020-09-27,46.0
Iran,2020-10-04,45.0
Iran,2020-10-11,45.0
Iran,2020-10-18,42.0
Iran,2020-10-25,53.0
Iran,2020-11-01,48.0
Iran,2020-11-08,46.0
Iran,2020-11-15,48.0
Iran,2020-11-22,48.0
Iran,2020-11-29,49.0
Iran,2020-12-06,45.0
Iran,2020-12-13,44.0
Iran,2020-12-20,50.0
Iran,2020-12-27,51.0
Iran,2021-01-03,48.0
Iran,2021-01-10,43.0
Iran,2021-01-17,44.0
Iran,2021-01-24,44.0
Iran,2021-01-31,37.0
Iran,2021-02-07,42.0
Iran,2021-02-14,43.0
Iran,2021-02-21,38.0
Iran,2021-02-28,40.0
Iran,2021-03-07,36.0
Iran,2021-03-14,35.0
Iran,2021-03-21,45.0
Iran,2021-03-28,61.0
Iran,2021-04-04,63.0
Iran,2021-04-11,61.0
Iran,2021-04-18,67.0
Iran,2021-04-25,67.0
Iran,2021-05-02,64.0
Iran,2021-05-09,57.0
Iran,2021-05-16,61.0
Iran,2021-05-23,58.0
Iran,2021-05-30,55.0
Iran,2021-06-06,53.0
Iran,2021-06-13,51.0
Iran,2021-06-20,54.0
Iran,2021-06-27,52.0
Iran,2021-07-04,55.0
Iran,2021-07-11,94.0
Iran,2021-07-18,48.0
Iran,2021-07-25,53.0
Iran,2021-08-01,53.0
Iran,2021-08-08,45.0
Iran,2021-08-15,41.0
Iran,2021-08-22,48.0
Iran,2021-08-29,45.0
Iran,2021-09-05,44.0
Iran,2021-09-12,40.0
Iran,2021-09-19,39.0
Iran,2021-09-26,36.0
Iran,2021-10-03,34.0
Iran,2021-10-10,37.0
Iran,2021-10-17,48.0
Iran,2021-10-24,47.0
Iran,2021-10-31,50.0
Iran,2021-11-07,48.0
Iran,2021-11-14,47.0
Iran,2021-11-21,50.0
Iran,2021-11-28,49.0
Iran,2021-12-05,49.0
Iran,2021-12-12,50.0
Iran,2021-12-19,50.0
Iran,2021-12-26,55.0
Iran,2022-01-02,52.0
Iran,2022-01-09,45.0
Iran,2022-01-16,38.0
Iran,2022-01-23,41.0
Iran,2022-01-30,35.0
Iran,2022-02-06,38.0
Iran,2022-02-13,38.0
Iran,2022-02-20,36.0
Iran,2022-02-27,34.0
Iran,2022-03-06,32.0
Iran,2022-03-13,31.0
Iran,2022-03-20,38.0
Iran,2022-03-27,47.0
Iran,2022-04-03,64.0
Iran,2022-04-10,57.0
