Category: All categories

Week,flight: (Japan)
2020-01-26,100
2020-02-02,94
2020-02-09,91
2020-02-16,93
2020-02-23,87
2020-03-01,88
2020-03-08,86
2020-03-15,100
2020-03-22,78
2020-03-29,56
2020-04-05,46
2020-04-12,39
2020-04-19,40
2020-04-26,40
2020-05-03,41
2020-05-10,40
2020-05-17,49
2020-05-24,46
2020-05-31,45
2020-06-07,48
2020-06-14,48
2020-06-21,46
2020-06-28,48
2020-07-05,49
2020-07-12,50
2020-07-19,46
2020-07-26,49
2020-08-02,47
2020-08-09,46
2020-08-16,97
2020-08-23,69
2020-08-30,62
2020-09-06,53
2020-09-13,47
2020-09-20,55
2020-09-27,62
2020-10-04,49
2020-10-11,47
2020-10-18,45
2020-10-25,44
2020-11-01,44
2020-11-08,43
2020-11-15,42
2020-11-22,46
2020-11-29,41
2020-12-06,44
2020-12-13,47
2020-12-20,47
2020-12-27,43
2021-01-03,47
2021-01-10,47
2021-01-17,40
2021-01-24,41
2021-01-31,40
2021-02-07,33
2021-02-14,40
2021-02-21,43
2021-02-28,44
2021-03-07,41
2021-03-14,46
2021-03-21,39
2021-03-28,45
2021-04-04,42
2021-04-11,51
2021-04-18,44
2021-04-25,50
2021-05-02,47
2021-05-09,43
2021-05-16,42
2021-05-23,40
2021-05-30,40
2021-06-06,46
2021-06-13,42
2021-06-20,49
2021-06-27,40
2021-07-04,43
2021-07-11,43
2021-07-18,63
2021-07-25,51
2021-08-01,45
2021-08-08,42
2021-08-15,38
2021-08-22,48
2021-08-29,49
2021-09-05,43
2021-09-12,45
2021-09-19,44
2021-09-26,53
2021-10-03,48
2021-10-10,44
2021-10-17,41
2021-10-24,45
2021-10-31,44
2021-11-07,47
2021-11-14,49
2021-11-21,54
2021-11-28,54
2021-12-05,50
2021-12-12,40
2021-12-19,47
2021-12-26,39
2022-01-02,41
2022-01-09,44
2022-01-16,45
2022-01-23,41
2022-01-30,45
2022-02-06,47
2022-02-13,46
2022-02-20,48
2022-02-27,61
2022-03-06,55
2022-03-13,60
2022-03-20,53
2022-03-27,56
2022-04-03,56
2022-04-10,52
