Country,Date,search_index
Qatar,2020-01-26,3.0
Qatar,2020-02-02,1.0
Qatar,2020-02-09,1.0
Qatar,2020-02-16,0.0
Qatar,2020-02-23,1.0
Qatar,2020-03-01,2.0
Qatar,2020-03-08,37.0
Qatar,2020-03-15,49.0
Qatar,2020-03-22,80.0
Qatar,2020-03-29,79.0
Qatar,2020-04-05,68.0
Qatar,2020-04-12,62.0
Qatar,2020-04-19,53.0
Qatar,2020-04-26,65.0
Qatar,2020-05-03,51.0
Qatar,2020-05-10,49.0
Qatar,2020-05-17,43.0
Qatar,2020-05-24,47.0
Qatar,2020-05-31,33.0
Qatar,2020-06-07,33.0
Qatar,2020-06-14,31.0
Qatar,2020-06-21,17.0
Qatar,2020-06-28,21.0
Qatar,2020-07-05,16.0
Qatar,2020-07-12,12.0
Qatar,2020-07-19,10.0
Qatar,2020-07-26,14.0
Qatar,2020-08-02,10.0
Qatar,2020-08-09,8.0
Qatar,2020-08-16,11.0
Qatar,2020-08-23,15.0
Qatar,2020-08-30,8.0
Qatar,2020-09-06,7.0
Qatar,2020-09-13,9.0
Qatar,2020-09-20,13.0
Qatar,2020-09-27,8.0
Qatar,2020-10-04,7.0
Qatar,2020-10-11,9.0
Qatar,2020-10-18,6.0
Qatar,2020-10-25,12.0
Qatar,2020-11-01,17.0
Qatar,2020-11-08,12.0
Qatar,2020-11-15,13.0
Qatar,2020-11-22,14.0
Qatar,2020-11-29,10.0
Qatar,2020-12-06,12.0
Qatar,2020-12-13,12.0
Qatar,2020-12-20,41.0
Qatar,2020-12-27,9.0
Qatar,2021-01-03,15.0
Qatar,2021-01-10,10.0
Qatar,2021-01-17,6.0
Qatar,2021-01-24,19.0
Qatar,2021-01-31,54.0
Qatar,2021-02-07,21.0
Qatar,2021-02-14,13.0
Qatar,2021-02-21,14.0
Qatar,2021-02-28,8.0
Qatar,2021-03-07,8.0
Qatar,2021-03-14,9.0
Qatar,2021-03-21,26.0
Qatar,2021-03-28,100.0
Qatar,2021-04-04,91.0
Qatar,2021-04-11,19.0
Qatar,2021-04-18,27.0
Qatar,2021-04-25,20.0
Qatar,2021-05-02,26.0
Qatar,2021-05-09,31.0
Qatar,2021-05-16,18.0
Qatar,2021-05-23,21.0
Qatar,2021-05-30,15.0
Qatar,2021-06-06,19.0
Qatar,2021-06-13,13.0
Qatar,2021-06-20,11.0
Qatar,2021-06-27,14.0
Qatar,2021-07-04,13.0
Qatar,2021-07-11,7.0
Qatar,2021-07-18,10.0
Qatar,2021-07-25,9.0
Qatar,2021-08-01,9.0
Qatar,2021-08-08,8.0
Qatar,2021-08-15,7.0
Qatar,2021-08-22,6.0
Qatar,2021-08-29,6.0
Qatar,2021-09-05,7.0
Qatar,2021-09-12,5.0
Qatar,2021-09-19,2.0
Qatar,2021-09-26,5.0
Qatar,2021-10-03,2.0
Qatar,2021-10-10,3.0
Qatar,2021-10-17,5.0
Qatar,2021-10-24,4.0
Qatar,2021-10-31,4.0
Qatar,2021-11-07,2.0
Qatar,2021-11-14,5.0
Qatar,2021-11-21,8.0
Qatar,2021-11-28,10.0
Qatar,2021-12-05,8.0
Qatar,2021-12-12,7.0
Qatar,2021-12-19,18.0
Qatar,2021-12-26,10.0
Qatar,2022-01-02,16.0
Qatar,2022-01-09,11.0
Qatar,2022-01-16,5.0
Qatar,2022-01-23,2.0
Qatar,2022-01-30,5.0
Qatar,2022-02-06,3.0
Qatar,2022-02-13,2.0
Qatar,2022-02-20,2.0
Qatar,2022-02-27,2.0
Qatar,2022-03-06,1.0
Qatar,2022-03-13,1.0
Qatar,2022-03-20,2.0
Qatar,2022-03-27,3.0
Qatar,2022-04-03,4.0
Qatar,2022-04-10,5.0
