Country,Date,search_index
Japan,2020-01-26,2.0
Japan,2020-02-02,4.0
Japan,2020-02-09,1.0
Japan,2020-02-16,2.0
Japan,2020-02-23,4.0
Japan,2020-03-01,2.0
Japan,2020-03-08,20.0
Japan,2020-03-15,42.0
Japan,2020-03-22,100.0
Japan,2020-03-29,66.0
Japan,2020-04-05,48.0
Japan,2020-04-12,28.0
Japan,2020-04-19,22.0
Japan,2020-04-26,24.0
Japan,2020-05-03,18.0
Japan,2020-05-10,24.0
Japan,2020-05-17,20.0
Japan,2020-05-24,14.0
Japan,2020-05-31,11.0
Japan,2020-06-07,10.0
Japan,2020-06-14,8.0
Japan,2020-06-21,7.0
Japan,2020-06-28,8.0
Japan,2020-07-05,9.0
Japan,2020-07-12,9.0
Japan,2020-07-19,8.0
Japan,2020-07-26,6.0
Japan,2020-08-02,5.0
Japan,2020-08-09,4.0
Japan,2020-08-16,5.0
Japan,2020-08-23,4.0
Japan,2020-08-30,4.0
Japan,2020-09-06,6.0
Japan,2020-09-13,5.0
Japan,2020-09-20,4.0
Japan,2020-09-27,4.0
Japan,2020-10-04,4.0
Japan,2020-10-11,5.0
Japan,2020-10-18,3.0
Japan,2020-10-25,9.0
Japan,2020-11-01,9.0
Japan,2020-11-08,6.0
Japan,2020-11-15,7.0
Japan,2020-11-22,4.0
Japan,2020-11-29,6.0
Japan,2020-12-06,6.0
Japan,2020-12-13,6.0
Japan,2020-12-20,6.0
Japan,2020-12-27,7.0
Japan,2021-01-03,13.0
Japan,2021-01-10,8.0
Japan,2021-01-17,4.0
Japan,2021-01-24,5.0
Japan,2021-01-31,6.0
Japan,2021-02-07,4.0
Japan,2021-02-14,6.0
Japan,2021-02-21,5.0
Japan,2021-02-28,4.0
Japan,2021-03-07,4.0
Japan,2021-03-14,6.0
Japan,2021-03-21,5.0
Japan,2021-03-28,4.0
Japan,2021-04-04,5.0
Japan,2021-04-11,5.0
Japan,2021-04-18,9.0
Japan,2021-04-25,7.0
Japan,2021-05-02,5.0
Japan,2021-05-09,5.0
Japan,2021-05-16,4.0
Japan,2021-05-23,6.0
Japan,2021-05-30,6.0
Japan,2021-06-06,6.0
Japan,2021-06-13,8.0
Japan,2021-06-20,5.0
Japan,2021-06-27,7.0
Japan,2021-07-04,5.0
Japan,2021-07-11,4.0
Japan,2021-07-18,4.0
Japan,2021-07-25,7.0
Japan,2021-08-01,6.0
Japan,2021-08-08,5.0
Japan,2021-08-15,7.0
Japan,2021-08-22,4.0
Japan,2021-08-29,4.0
Japan,2021-09-05,5.0
Japan,2021-09-12,4.0
Japan,2021-09-19,3.0
Japan,2021-09-26,3.0
Japan,2021-10-03,2.0
Japan,2021-10-10,2.0
Japan,2021-10-17,2.0
Japan,2021-10-24,2.0
Japan,2021-10-31,3.0
Japan,2021-11-07,3.0
Japan,2021-11-14,2.0
Japan,2021-11-21,3.0
Japan,2021-11-28,2.0
Japan,2021-12-05,2.0
Japan,2021-12-12,3.0
Japan,2021-12-19,3.0
Japan,2021-12-26,1.0
Japan,2022-01-02,4.0
Japan,2022-01-09,4.0
Japan,2022-01-16,3.0
Japan,2022-01-23,3.0
Japan,2022-01-30,1.0
Japan,2022-02-06,2.0
Japan,2022-02-13,2.0
Japan,2022-02-20,2.0
Japan,2022-02-27,2.0
Japan,2022-03-06,2.0
Japan,2022-03-13,2.0
Japan,2022-03-20,2.0
Japan,2022-03-27,5.0
Japan,2022-04-03,4.0
Japan,2022-04-10,4.0
