Category: All categories

Week,mask: (Hong Kong)
2020-01-26,100
2020-02-02,75
2020-02-09,46
2020-02-16,31
2020-02-23,27
2020-03-01,20
2020-03-08,35
2020-03-15,30
2020-03-22,28
2020-03-29,25
2020-04-05,23
2020-04-12,24
2020-04-19,16
2020-04-26,13
2020-05-03,20
2020-05-10,17
2020-05-17,14
2020-05-24,14
2020-05-31,15
2020-06-07,11
2020-06-14,11
2020-06-21,11
2020-06-28,10
2020-07-05,16
2020-07-12,21
2020-07-19,20
2020-07-26,15
2020-08-02,13
2020-08-09,11
2020-08-16,10
2020-08-23,9
2020-08-30,8
2020-09-06,7
2020-09-13,7
2020-09-20,7
2020-09-27,7
2020-10-04,8
2020-10-11,8
2020-10-18,8
2020-10-25,8
2020-11-01,7
2020-11-08,8
2020-11-15,8
2020-11-22,8
2020-11-29,9
2020-12-06,9
2020-12-13,9
2020-12-20,8
2020-12-27,7
2021-01-03,7
2021-01-10,6
2021-01-17,6
2021-01-24,7
2021-01-31,6
2021-02-07,6
2021-02-14,5
2021-02-21,5
2021-02-28,5
2021-03-07,6
2021-03-14,6
2021-03-21,6
2021-03-28,5
2021-04-04,6
2021-04-11,6
2021-04-18,7
2021-04-25,5
2021-05-02,6
2021-05-09,6
2021-05-16,6
2021-05-23,6
2021-05-30,5
2021-06-06,6
2021-06-13,6
2021-06-20,6
2021-06-27,6
2021-07-04,5
2021-07-11,5
2021-07-18,5
2021-07-25,5
2021-08-01,5
2021-08-08,5
2021-08-15,5
2021-08-22,5
2021-08-29,5
2021-09-05,5
2021-09-12,5
2021-09-19,5
2021-09-26,5
2021-10-03,5
2021-10-10,5
2021-10-17,5
2021-10-24,5
2021-10-31,5
2021-11-07,5
2021-11-14,5
2021-11-21,5
2021-11-28,5
2021-12-05,5
2021-12-12,5
2021-12-19,5
2021-12-26,5
2022-01-02,6
2022-01-09,7
2022-01-16,7
2022-01-23,6
2022-01-30,5
2022-02-06,7
2022-02-13,9
2022-02-20,8
2022-02-27,10
2022-03-06,7
2022-03-13,6
2022-03-20,6
2022-03-27,5
2022-04-03,4
2022-04-10,5
