Category: All categories

Week,mask: (Poland)
2020-01-26,44
2020-02-02,41
2020-02-09,38
2020-02-16,35
2020-02-23,58
2020-03-01,46
2020-03-08,52
2020-03-15,53
2020-03-22,66
2020-03-29,67
2020-04-05,82
2020-04-12,100
2020-04-19,71
2020-04-26,57
2020-05-03,49
2020-05-10,45
2020-05-17,47
2020-05-24,40
2020-05-31,41
2020-06-07,33
2020-06-14,34
2020-06-21,34
2020-06-28,36
2020-07-05,36
2020-07-12,38
2020-07-19,39
2020-07-26,45
2020-08-02,45
2020-08-09,41
2020-08-16,42
2020-08-23,43
2020-08-30,44
2020-09-06,38
2020-09-13,38
2020-09-20,40
2020-09-27,38
2020-10-04,51
2020-10-11,52
2020-10-18,46
2020-10-25,44
2020-11-01,43
2020-11-08,43
2020-11-15,39
2020-11-22,38
2020-11-29,38
2020-12-06,38
2020-12-13,43
2020-12-20,39
2020-12-27,41
2021-01-03,45
2021-01-10,41
2021-01-17,42
2021-01-24,44
2021-01-31,40
2021-02-07,43
2021-02-14,43
2021-02-21,59
2021-02-28,48
2021-03-07,47
2021-03-14,45
2021-03-21,41
2021-03-28,40
2021-04-04,44
2021-04-11,38
2021-04-18,39
2021-04-25,38
2021-05-02,41
2021-05-09,34
2021-05-16,38
2021-05-23,35
2021-05-30,37
2021-06-06,36
2021-06-13,36
2021-06-20,34
2021-06-27,35
2021-07-04,32
2021-07-11,33
2021-07-18,36
2021-07-25,45
2021-08-01,34
2021-08-08,32
2021-08-15,37
2021-08-22,36
2021-08-29,33
2021-09-05,34
2021-09-12,33
2021-09-19,36
2021-09-26,32
2021-10-03,33
2021-10-10,42
2021-10-17,38
2021-10-24,36
2021-10-31,41
2021-11-07,36
2021-11-14,35
2021-11-21,34
2021-11-28,32
2021-12-05,34
2021-12-12,32
2021-12-19,39
2021-12-26,53
2022-01-02,44
2022-01-09,40
2022-01-16,42
2022-01-23,44
2022-01-30,44
2022-02-06,45
2022-02-13,46
2022-02-20,48
2022-02-27,60
2022-03-06,82
2022-03-13,74
2022-03-20,71
2022-03-27,71
2022-04-03,74
2022-04-10,68
