Country,Date,search_index
Qatar,2020-01-26,29.0
Qatar,2020-02-02,26.0
Qatar,2020-02-09,22.0
Qatar,2020-02-16,23.0
Qatar,2020-02-23,25.0
Qatar,2020-03-01,24.0
Qatar,2020-03-08,29.0
Qatar,2020-03-15,28.0
Qatar,2020-03-22,100.0
Qatar,2020-03-29,22.0
Qatar,2020-04-05,15.0
Qatar,2020-04-12,19.0
Qatar,2020-04-19,14.0
Qatar,2020-04-26,15.0
Qatar,2020-05-03,20.0
Qatar,2020-05-10,15.0
Qatar,2020-05-17,16.0
Qatar,2020-05-24,15.0
Qatar,2020-05-31,23.0
Qatar,2020-06-07,19.0
Qatar,2020-06-14,25.0
Qatar,2020-06-21,16.0
Qatar,2020-06-28,17.0
Qatar,2020-07-05,17.0
Qatar,2020-07-12,18.0
Qatar,2020-07-19,16.0
Qatar,2020-07-26,22.0
Qatar,2020-08-02,16.0
Qatar,2020-08-09,16.0
Qatar,2020-08-16,21.0
Qatar,2020-08-23,21.0
Qatar,2020-08-30,27.0
Qatar,2020-09-06,22.0
Qatar,2020-09-13,23.0
Qatar,2020-09-20,21.0
Qatar,2020-09-27,20.0
Qatar,2020-10-04,23.0
Qatar,2020-10-11,16.0
Qatar,2020-10-18,18.0
Qatar,2020-10-25,18.0
Qatar,2020-11-01,17.0
Qatar,2020-11-08,26.0
Qatar,2020-11-15,16.0
Qatar,2020-11-22,18.0
Qatar,2020-11-29,16.0
Qatar,2020-12-06,17.0
Qatar,2020-12-13,12.0
Qatar,2020-12-20,17.0
Qatar,2020-12-27,15.0
Qatar,2021-01-03,17.0
Qatar,2021-01-10,21.0
Qatar,2021-01-17,19.0
Qatar,2021-01-24,17.0
Qatar,2021-01-31,20.0
Qatar,2021-02-07,18.0
Qatar,2021-02-14,18.0
Qatar,2021-02-21,19.0
Qatar,2021-02-28,16.0
Qatar,2021-03-07,17.0
Qatar,2021-03-14,19.0
Qatar,2021-03-21,17.0
Qatar,2021-03-28,16.0
Qatar,2021-04-04,15.0
Qatar,2021-04-11,17.0
Qatar,2021-04-18,13.0
Qatar,2021-04-25,15.0
Qatar,2021-05-02,14.0
Qatar,2021-05-09,12.0
Qatar,2021-05-16,14.0
Qatar,2021-05-23,13.0
Qatar,2021-05-30,14.0
Qatar,2021-06-06,19.0
Qatar,2021-06-13,20.0
Qatar,2021-06-20,16.0
Qatar,2021-06-27,12.0
Qatar,2021-07-04,11.0
Qatar,2021-07-11,10.0
Qatar,2021-07-18,10.0
Qatar,2021-07-25,12.0
Qatar,2021-08-01,12.0
Qatar,2021-08-08,13.0
Qatar,2021-08-15,14.0
Qatar,2021-08-22,16.0
Qatar,2021-08-29,22.0
Qatar,2021-09-05,19.0
Qatar,2021-09-12,23.0
Qatar,2021-09-19,27.0
Qatar,2021-09-26,25.0
Qatar,2021-10-03,20.0
Qatar,2021-10-10,17.0
Qatar,2021-10-17,19.0
Qatar,2021-10-24,19.0
Qatar,2021-10-31,18.0
Qatar,2021-11-07,20.0
Qatar,2021-11-14,21.0
Qatar,2021-11-21,21.0
Qatar,2021-11-28,26.0
Qatar,2021-12-05,23.0
Qatar,2021-12-12,18.0
Qatar,2021-12-19,12.0
Qatar,2021-12-26,14.0
Qatar,2022-01-02,20.0
Qatar,2022-01-09,16.0
Qatar,2022-01-16,16.0
Qatar,2022-01-23,25.0
Qatar,2022-01-30,17.0
Qatar,2022-02-06,24.0
Qatar,2022-02-13,20.0
Qatar,2022-02-20,21.0
Qatar,2022-02-27,19.0
Qatar,2022-03-06,19.0
Qatar,2022-03-13,15.0
Qatar,2022-03-20,22.0
Qatar,2022-03-27,20.0
Qatar,2022-04-03,16.0
Qatar,2022-04-10,16.0
