Country,Date,search_index
Vietnam,2020-01-26,89.0
Vietnam,2020-02-02,86.0
Vietnam,2020-02-09,70.0
Vietnam,2020-02-16,62.0
Vietnam,2020-02-23,57.0
Vietnam,2020-03-01,54.0
Vietnam,2020-03-08,51.0
Vietnam,2020-03-15,57.0
Vietnam,2020-03-22,55.0
Vietnam,2020-03-29,54.0
Vietnam,2020-04-05,69.0
Vietnam,2020-04-12,62.0
Vietnam,2020-04-19,58.0
Vietnam,2020-04-26,48.0
Vietnam,2020-05-03,45.0
Vietnam,2020-05-10,47.0
Vietnam,2020-05-17,49.0
Vietnam,2020-05-24,53.0
Vietnam,2020-05-31,54.0
Vietnam,2020-06-07,57.0
Vietnam,2020-06-14,52.0
Vietnam,2020-06-21,51.0
Vietnam,2020-06-28,53.0
Vietnam,2020-07-05,49.0
Vietnam,2020-07-12,43.0
Vietnam,2020-07-19,45.0
Vietnam,2020-07-26,44.0
Vietnam,2020-08-02,51.0
Vietnam,2020-08-09,47.0
Vietnam,2020-08-16,48.0
Vietnam,2020-08-23,47.0
Vietnam,2020-08-30,53.0
Vietnam,2020-09-06,49.0
Vietnam,2020-09-13,47.0
Vietnam,2020-09-20,44.0
Vietnam,2020-09-27,51.0
Vietnam,2020-10-04,45.0
Vietnam,2020-10-11,48.0
Vietnam,2020-10-18,45.0
Vietnam,2020-10-25,46.0
Vietnam,2020-11-01,44.0
Vietnam,2020-11-08,46.0
Vietnam,2020-11-15,36.0
Vietnam,2020-11-22,37.0
Vietnam,2020-11-29,41.0
Vietnam,2020-12-06,43.0
Vietnam,2020-12-13,44.0
Vietnam,2020-12-20,41.0
Vietnam,2020-12-27,34.0
Vietnam,2021-01-03,36.0
Vietnam,2021-01-10,33.0
Vietnam,2021-01-17,37.0
Vietnam,2021-01-24,34.0
Vietnam,2021-01-31,35.0
Vietnam,2021-02-07,27.0
Vietnam,2021-02-14,32.0
Vietnam,2021-02-21,44.0
Vietnam,2021-02-28,44.0
Vietnam,2021-03-07,43.0
Vietnam,2021-03-14,41.0
Vietnam,2021-03-21,41.0
Vietnam,2021-03-28,44.0
Vietnam,2021-04-04,40.0
Vietnam,2021-04-11,45.0
Vietnam,2021-04-18,43.0
Vietnam,2021-04-25,41.0
Vietnam,2021-05-02,42.0
Vietnam,2021-05-09,43.0
Vietnam,2021-05-16,45.0
Vietnam,2021-05-23,41.0
Vietnam,2021-05-30,39.0
Vietnam,2021-06-06,41.0
Vietnam,2021-06-13,37.0
Vietnam,2021-06-20,46.0
Vietnam,2021-06-27,41.0
Vietnam,2021-07-04,38.0
Vietnam,2021-07-11,41.0
Vietnam,2021-07-18,44.0
Vietnam,2021-07-25,43.0
Vietnam,2021-08-01,40.0
Vietnam,2021-08-08,43.0
Vietnam,2021-08-15,41.0
Vietnam,2021-08-22,43.0
Vietnam,2021-08-29,43.0
Vietnam,2021-09-05,47.0
Vietnam,2021-09-12,69.0
Vietnam,2021-09-19,100.0
Vietnam,2021-09-26,71.0
Vietnam,2021-10-03,62.0
Vietnam,2021-10-10,55.0
Vietnam,2021-10-17,57.0
Vietnam,2021-10-24,57.0
Vietnam,2021-10-31,58.0
Vietnam,2021-11-07,58.0
Vietnam,2021-11-14,56.0
Vietnam,2021-11-21,56.0
Vietnam,2021-11-28,52.0
Vietnam,2021-12-05,52.0
Vietnam,2021-12-12,48.0
Vietnam,2021-12-19,50.0
Vietnam,2021-12-26,53.0
Vietnam,2022-01-02,70.0
Vietnam,2022-01-09,63.0
Vietnam,2022-01-16,62.0
Vietnam,2022-01-23,59.0
Vietnam,2022-01-30,44.0
Vietnam,2022-02-06,57.0
Vietnam,2022-02-13,64.0
Vietnam,2022-02-20,63.0
Vietnam,2022-02-27,66.0
Vietnam,2022-03-06,70.0
Vietnam,2022-03-13,88.0
Vietnam,2022-03-20,59.0
Vietnam,2022-03-27,76.0
Vietnam,2022-04-03,72.0
Vietnam,2022-04-10,66.0
