Country,Date,search_index
South Korea,2020-01-26,77.0
South Korea,2020-02-02,79.0
South Korea,2020-02-09,78.0
South Korea,2020-02-16,60.0
South Korea,2020-02-23,68.0
South Korea,2020-03-01,66.0
South Korea,2020-03-08,65.0
South Korea,2020-03-15,91.0
South Korea,2020-03-22,81.0
South Korea,2020-03-29,98.0
South Korea,2020-04-05,91.0
South Korea,2020-04-12,76.0
South Korea,2020-04-19,84.0
South Korea,2020-04-26,78.0
South Korea,2020-05-03,82.0
South Korea,2020-05-10,69.0
South Korea,2020-05-17,65.0
South Korea,2020-05-24,84.0
South Korea,2020-05-31,78.0
South Korea,2020-06-07,84.0
South Korea,2020-06-14,71.0
South Korea,2020-06-21,64.0
South Korea,2020-06-28,71.0
South Korea,2020-07-05,65.0
South Korea,2020-07-12,62.0
South Korea,2020-07-19,65.0
South Korea,2020-07-26,66.0
South Korea,2020-08-02,65.0
South Korea,2020-08-09,67.0
South Korea,2020-08-16,63.0
South Korea,2020-08-23,60.0
South Korea,2020-08-30,80.0
South Korea,2020-09-06,68.0
South Korea,2020-09-13,68.0
South Korea,2020-09-20,76.0
South Korea,2020-09-27,64.0
South Korea,2020-10-04,66.0
South Korea,2020-10-11,76.0
South Korea,2020-10-18,51.0
South Korea,2020-10-25,62.0
South Korea,2020-11-01,67.0
South Korea,2020-11-08,65.0
South Korea,2020-11-15,65.0
South Korea,2020-11-22,73.0
South Korea,2020-11-29,62.0
South Korea,2020-12-06,62.0
South Korea,2020-12-13,58.0
South Korea,2020-12-20,51.0
South Korea,2020-12-27,51.0
South Korea,2021-01-03,66.0
South Korea,2021-01-10,61.0
South Korea,2021-01-17,54.0
South Korea,2021-01-24,47.0
South Korea,2021-01-31,59.0
South Korea,2021-02-07,57.0
South Korea,2021-02-14,60.0
South Korea,2021-02-21,57.0
South Korea,2021-02-28,63.0
South Korea,2021-03-07,81.0
South Korea,2021-03-14,73.0
South Korea,2021-03-21,80.0
South Korea,2021-03-28,74.0
South Korea,2021-04-04,82.0
South Korea,2021-04-11,77.0
South Korea,2021-04-18,72.0
South Korea,2021-04-25,61.0
South Korea,2021-05-02,64.0
South Korea,2021-05-09,73.0
South Korea,2021-05-16,70.0
South Korea,2021-05-23,69.0
South Korea,2021-05-30,73.0
South Korea,2021-06-06,73.0
South Korea,2021-06-13,67.0
South Korea,2021-06-20,58.0
South Korea,2021-06-27,62.0
South Korea,2021-07-04,68.0
South Korea,2021-07-11,71.0
South Korea,2021-07-18,65.0
South Korea,2021-07-25,77.0
South Korea,2021-08-01,64.0
South Korea,2021-08-08,57.0
South Korea,2021-08-15,63.0
South Korea,2021-08-22,66.0
South Korea,2021-08-29,72.0
South Korea,2021-09-05,64.0
South Korea,2021-09-12,71.0
South Korea,2021-09-19,100.0
South Korea,2021-09-26,80.0
South Korea,2021-10-03,73.0
South Korea,2021-10-10,68.0
South Korea,2021-10-17,71.0
South Korea,2021-10-24,58.0
South Korea,2021-10-31,53.0
South Korea,2021-11-07,50.0
South Korea,2021-11-14,55.0
South Korea,2021-11-21,59.0
South Korea,2021-11-28,50.0
South Korea,2021-12-05,70.0
South Korea,2021-12-12,51.0
South Korea,2021-12-19,41.0
South Korea,2021-12-26,54.0
South Korea,2022-01-02,48.0
South Korea,2022-01-09,50.0
South Korea,2022-01-16,51.0
South Korea,2022-01-23,57.0
South Korea,2022-01-30,51.0
South Korea,2022-02-06,51.0
South Korea,2022-02-13,50.0
South Korea,2022-02-20,56.0
South Korea,2022-02-27,62.0
South Korea,2022-03-06,57.0
South Korea,2022-03-13,51.0
South Korea,2022-03-20,60.0
South Korea,2022-03-27,61.0
South Korea,2022-04-03,65.0
South Korea,2022-04-10,62.0
