Country,Date,search_index
Netherlands,2020-01-26,54.0
Netherlands,2020-02-02,43.0
Netherlands,2020-02-09,34.0
Netherlands,2020-02-16,36.0
Netherlands,2020-02-23,71.0
Netherlands,2020-03-01,45.0
Netherlands,2020-03-08,47.0
Netherlands,2020-03-15,68.0
Netherlands,2020-03-22,67.0
Netherlands,2020-03-29,68.0
Netherlands,2020-04-05,59.0
Netherlands,2020-04-12,56.0
Netherlands,2020-04-19,57.0
Netherlands,2020-04-26,60.0
Netherlands,2020-05-03,95.0
Netherlands,2020-05-10,78.0
Netherlands,2020-05-17,59.0
Netherlands,2020-05-24,55.0
Netherlands,2020-05-31,53.0
Netherlands,2020-06-07,48.0
Netherlands,2020-06-14,43.0
Netherlands,2020-06-21,40.0
Netherlands,2020-06-28,45.0
Netherlands,2020-07-05,44.0
Netherlands,2020-07-12,50.0
Netherlands,2020-07-19,61.0
Netherlands,2020-07-26,60.0
Netherlands,2020-08-02,56.0
Netherlands,2020-08-09,49.0
Netherlands,2020-08-16,47.0
Netherlands,2020-08-23,49.0
Netherlands,2020-08-30,43.0
Netherlands,2020-09-06,45.0
Netherlands,2020-09-13,44.0
Netherlands,2020-09-20,55.0
Netherlands,2020-09-27,94.0
Netherlands,2020-10-04,92.0
Netherlands,2020-10-11,100.0
Netherlands,2020-10-18,80.0
Netherlands,2020-10-25,74.0
Netherlands,2020-11-01,60.0
Netherlands,2020-11-08,66.0
Netherlands,2020-11-15,49.0
Netherlands,2020-11-22,50.0
Netherlands,2020-11-29,55.0
Netherlands,2020-12-06,43.0
Netherlands,2020-12-13,49.0
Netherlands,2020-12-20,44.0
Netherlands,2020-12-27,62.0
Netherlands,2021-01-03,43.0
Netherlands,2021-01-10,42.0
Netherlands,2021-01-17,48.0
Netherlands,2021-01-24,44.0
Netherlands,2021-01-31,43.0
Netherlands,2021-02-07,41.0
Netherlands,2021-02-14,44.0
Netherlands,2021-02-21,41.0
Netherlands,2021-02-28,34.0
Netherlands,2021-03-07,39.0
Netherlands,2021-03-14,37.0
Netherlands,2021-03-21,41.0
Netherlands,2021-03-28,40.0
Netherlands,2021-04-04,38.0
Netherlands,2021-04-11,39.0
Netherlands,2021-04-18,40.0
Netherlands,2021-04-25,38.0
Netherlands,2021-05-02,41.0
Netherlands,2021-05-09,37.0
Netherlands,2021-05-16,33.0
Netherlands,2021-05-23,35.0
Netherlands,2021-05-30,31.0
Netherlands,2021-06-06,41.0
Netherlands,2021-06-13,38.0
Netherlands,2021-06-20,31.0
Netherlands,2021-06-27,33.0
Netherlands,2021-07-04,30.0
Netherlands,2021-07-11,29.0
Netherlands,2021-07-18,31.0
Netherlands,2021-07-25,31.0
Netherlands,2021-08-01,30.0
Netherlands,2021-08-08,34.0
Netherlands,2021-08-15,34.0
Netherlands,2021-08-22,34.0
Netherlands,2021-08-29,33.0
Netherlands,2021-09-05,28.0
Netherlands,2021-09-12,30.0
Netherlands,2021-09-19,29.0
Netherlands,2021-09-26,35.0
Netherlands,2021-10-03,35.0
Netherlands,2021-10-10,44.0
Netherlands,2021-10-17,57.0
Netherlands,2021-10-24,54.0
Netherlands,2021-10-31,53.0
Netherlands,2021-11-07,43.0
Netherlands,2021-11-14,43.0
Netherlands,2021-11-21,44.0
Netherlands,2021-11-28,47.0
Netherlands,2021-12-05,49.0
Netherlands,2021-12-12,50.0
Netherlands,2021-12-19,41.0
Netherlands,2021-12-26,56.0
Netherlands,2022-01-02,50.0
Netherlands,2022-01-09,54.0
Netherlands,2022-01-16,43.0
Netherlands,2022-01-23,37.0
Netherlands,2022-01-30,38.0
Netherlands,2022-02-06,34.0
Netherlands,2022-02-13,31.0
Netherlands,2022-02-20,37.0
Netherlands,2022-02-27,34.0
Netherlands,2022-03-06,35.0
Netherlands,2022-03-13,36.0
Netherlands,2022-03-20,34.0
Netherlands,2022-03-27,36.0
Netherlands,2022-04-03,34.0
Netherlands,2022-04-10,29.0
