Country,Date,search_index
Russia,2020-01-26,91.0
Russia,2020-02-02,76.0
Russia,2020-02-09,80.0
Russia,2020-02-16,73.0
Russia,2020-02-23,87.0
Russia,2020-03-01,85.0
Russia,2020-03-08,97.0
Russia,2020-03-15,100.0
Russia,2020-03-22,98.0
Russia,2020-03-29,96.0
Russia,2020-04-05,80.0
Russia,2020-04-12,79.0
Russia,2020-04-19,76.0
Russia,2020-04-26,78.0
Russia,2020-05-03,79.0
Russia,2020-05-10,76.0
Russia,2020-05-17,79.0
Russia,2020-05-24,78.0
Russia,2020-05-31,82.0
Russia,2020-06-07,81.0
Russia,2020-06-14,78.0
Russia,2020-06-21,59.0
Russia,2020-06-28,71.0
Russia,2020-07-05,68.0
Russia,2020-07-12,74.0
Russia,2020-07-19,68.0
Russia,2020-07-26,69.0
Russia,2020-08-02,74.0
Russia,2020-08-09,79.0
Russia,2020-08-16,68.0
Russia,2020-08-23,74.0
Russia,2020-08-30,81.0
Russia,2020-09-06,64.0
Russia,2020-09-13,65.0
Russia,2020-09-20,65.0
Russia,2020-09-27,76.0
Russia,2020-10-04,70.0
Russia,2020-10-11,72.0
Russia,2020-10-18,75.0
Russia,2020-10-25,72.0
Russia,2020-11-01,71.0
Russia,2020-11-08,62.0
Russia,2020-11-15,69.0
Russia,2020-11-22,68.0
Russia,2020-11-29,73.0
Russia,2020-12-06,68.0
Russia,2020-12-13,75.0
Russia,2020-12-20,73.0
Russia,2020-12-27,85.0
Russia,2021-01-03,90.0
Russia,2021-01-10,76.0
Russia,2021-01-17,82.0
Russia,2021-01-24,73.0
Russia,2021-01-31,76.0
Russia,2021-02-07,74.0
Russia,2021-02-14,71.0
Russia,2021-02-21,81.0
Russia,2021-02-28,82.0
Russia,2021-03-07,81.0
Russia,2021-03-14,77.0
Russia,2021-03-21,80.0
Russia,2021-03-28,70.0
Russia,2021-04-04,71.0
Russia,2021-04-11,69.0
Russia,2021-04-18,70.0
Russia,2021-04-25,70.0
Russia,2021-05-02,77.0
Russia,2021-05-09,67.0
Russia,2021-05-16,60.0
Russia,2021-05-23,70.0
Russia,2021-05-30,63.0
Russia,2021-06-06,67.0
Russia,2021-06-13,78.0
Russia,2021-06-20,68.0
Russia,2021-06-27,81.0
Russia,2021-07-04,68.0
Russia,2021-07-11,69.0
Russia,2021-07-18,64.0
Russia,2021-07-25,66.0
Russia,2021-08-01,64.0
Russia,2021-08-08,67.0
Russia,2021-08-15,68.0
Russia,2021-08-22,70.0
Russia,2021-08-29,63.0
Russia,2021-09-05,68.0
Russia,2021-09-12,67.0
Russia,2021-09-19,70.0
Russia,2021-09-26,63.0
Russia,2021-10-03,56.0
Russia,2021-10-10,61.0
Russia,2021-10-17,70.0
Russia,2021-10-24,67.0
Russia,2021-10-31,73.0
Russia,2021-11-07,58.0
Russia,2021-11-14,64.0
Russia,2021-11-21,67.0
Russia,2021-11-28,80.0
Russia,2021-12-05,85.0
Russia,2021-12-12,80.0
Russia,2021-12-19,66.0
Russia,2021-12-26,76.0
Russia,2022-01-02,94.0
Russia,2022-01-09,72.0
Russia,2022-01-16,71.0
Russia,2022-01-23,79.0
Russia,2022-01-30,73.0
Russia,2022-02-06,70.0
Russia,2022-02-13,71.0
Russia,2022-02-20,65.0
Russia,2022-02-27,54.0
Russia,2022-03-06,65.0
Russia,2022-03-13,61.0
Russia,2022-03-20,56.0
Russia,2022-03-27,58.0
Russia,2022-04-03,60.0
Russia,2022-04-10,53.0
