Country,Date,search_index
Singapore,2020-01-26,100.0
Singapore,2020-02-02,52.0
Singapore,2020-02-09,47.0
Singapore,2020-02-16,26.0
Singapore,2020-02-23,17.0
Singapore,2020-03-01,16.0
Singapore,2020-03-08,16.0
Singapore,2020-03-15,18.0
Singapore,2020-03-22,21.0
Singapore,2020-03-29,37.0
Singapore,2020-04-05,65.0
Singapore,2020-04-12,42.0
Singapore,2020-04-19,24.0
Singapore,2020-04-26,20.0
Singapore,2020-05-03,22.0
Singapore,2020-05-10,19.0
Singapore,2020-05-17,25.0
Singapore,2020-05-24,35.0
Singapore,2020-05-31,27.0
Singapore,2020-06-07,22.0
Singapore,2020-06-14,22.0
Singapore,2020-06-21,23.0
Singapore,2020-06-28,32.0
Singapore,2020-07-05,24.0
Singapore,2020-07-12,24.0
Singapore,2020-07-19,22.0
Singapore,2020-07-26,21.0
Singapore,2020-08-02,19.0
Singapore,2020-08-09,18.0
Singapore,2020-08-16,17.0
Singapore,2020-08-23,20.0
Singapore,2020-08-30,16.0
Singapore,2020-09-06,19.0
Singapore,2020-09-13,18.0
Singapore,2020-09-20,25.0
Singapore,2020-09-27,20.0
Singapore,2020-10-04,17.0
Singapore,2020-10-11,14.0
Singapore,2020-10-18,12.0
Singapore,2020-10-25,13.0
Singapore,2020-11-01,11.0
Singapore,2020-11-08,11.0
Singapore,2020-11-15,13.0
Singapore,2020-11-22,13.0
Singapore,2020-11-29,21.0
Singapore,2020-12-06,16.0
Singapore,2020-12-13,13.0
Singapore,2020-12-20,11.0
Singapore,2020-12-27,11.0
Singapore,2021-01-03,9.0
Singapore,2021-01-10,10.0
Singapore,2021-01-17,11.0
Singapore,2021-01-24,10.0
Singapore,2021-01-31,10.0
Singapore,2021-02-07,9.0
Singapore,2021-02-14,10.0
Singapore,2021-02-21,11.0
Singapore,2021-02-28,19.0
Singapore,2021-03-07,13.0
Singapore,2021-03-14,10.0
Singapore,2021-03-21,9.0
Singapore,2021-03-28,8.0
Singapore,2021-04-04,8.0
Singapore,2021-04-11,9.0
Singapore,2021-04-18,9.0
Singapore,2021-04-25,11.0
Singapore,2021-05-02,11.0
Singapore,2021-05-09,15.0
Singapore,2021-05-16,34.0
Singapore,2021-05-23,19.0
Singapore,2021-05-30,12.0
Singapore,2021-06-06,12.0
Singapore,2021-06-13,10.0
Singapore,2021-06-20,9.0
Singapore,2021-06-27,10.0
Singapore,2021-07-04,9.0
Singapore,2021-07-11,9.0
Singapore,2021-07-18,10.0
Singapore,2021-07-25,10.0
Singapore,2021-08-01,12.0
Singapore,2021-08-08,10.0
Singapore,2021-08-15,12.0
Singapore,2021-08-22,25.0
Singapore,2021-08-29,19.0
Singapore,2021-09-05,14.0
Singapore,2021-09-12,12.0
Singapore,2021-09-19,12.0
Singapore,2021-09-26,10.0
Singapore,2021-10-03,9.0
Singapore,2021-10-10,9.0
Singapore,2021-10-17,9.0
Singapore,2021-10-24,9.0
Singapore,2021-10-31,9.0
Singapore,2021-11-07,9.0
Singapore,2021-11-14,8.0
Singapore,2021-11-21,9.0
Singapore,2021-11-28,9.0
Singapore,2021-12-05,8.0
Singapore,2021-12-12,8.0
Singapore,2021-12-19,8.0
Singapore,2021-12-26,8.0
Singapore,2022-01-02,9.0
Singapore,2022-01-09,16.0
Singapore,2022-01-16,13.0
Singapore,2022-01-23,10.0
Singapore,2022-01-30,8.0
Singapore,2022-02-06,8.0
Singapore,2022-02-13,8.0
Singapore,2022-02-20,9.0
Singapore,2022-02-27,13.0
Singapore,2022-03-06,9.0
Singapore,2022-03-13,8.0
Singapore,2022-03-20,12.0
Singapore,2022-03-27,11.0
Singapore,2022-04-03,8.0
Singapore,2022-04-10,7.0
