Country,Date,search_index
Mexico,2020-01-26,45.0
Mexico,2020-02-02,43.0
Mexico,2020-02-09,37.0
Mexico,2020-02-16,39.0
Mexico,2020-02-23,57.0
Mexico,2020-03-01,46.0
Mexico,2020-03-08,49.0
Mexico,2020-03-15,61.0
Mexico,2020-03-22,68.0
Mexico,2020-03-29,83.0
Mexico,2020-04-05,90.0
Mexico,2020-04-12,94.0
Mexico,2020-04-19,74.0
Mexico,2020-04-26,76.0
Mexico,2020-05-03,58.0
Mexico,2020-05-10,60.0
Mexico,2020-05-17,65.0
Mexico,2020-05-24,65.0
Mexico,2020-05-31,59.0
Mexico,2020-06-07,62.0
Mexico,2020-06-14,63.0
Mexico,2020-06-21,62.0
Mexico,2020-06-28,70.0
Mexico,2020-07-05,91.0
Mexico,2020-07-12,96.0
Mexico,2020-07-19,100.0
Mexico,2020-07-26,84.0
Mexico,2020-08-02,76.0
Mexico,2020-08-09,68.0
Mexico,2020-08-16,63.0
Mexico,2020-08-23,59.0
Mexico,2020-08-30,54.0
Mexico,2020-09-06,54.0
Mexico,2020-09-13,47.0
Mexico,2020-09-20,51.0
Mexico,2020-09-27,48.0
Mexico,2020-10-04,50.0
Mexico,2020-10-11,46.0
Mexico,2020-10-18,51.0
Mexico,2020-10-25,56.0
Mexico,2020-11-01,48.0
Mexico,2020-11-08,51.0
Mexico,2020-11-15,48.0
Mexico,2020-11-22,48.0
Mexico,2020-11-29,49.0
Mexico,2020-12-06,46.0
Mexico,2020-12-13,57.0
Mexico,2020-12-20,60.0
Mexico,2020-12-27,57.0
Mexico,2021-01-03,55.0
Mexico,2021-01-10,52.0
Mexico,2021-01-17,52.0
Mexico,2021-01-24,59.0
Mexico,2021-01-31,55.0
Mexico,2021-02-07,59.0
Mexico,2021-02-14,49.0
Mexico,2021-02-21,51.0
Mexico,2021-02-28,46.0
Mexico,2021-03-07,46.0
Mexico,2021-03-14,45.0
Mexico,2021-03-21,49.0
Mexico,2021-03-28,56.0
Mexico,2021-04-04,56.0
Mexico,2021-04-11,48.0
Mexico,2021-04-18,42.0
Mexico,2021-04-25,44.0
Mexico,2021-05-02,46.0
Mexico,2021-05-09,42.0
Mexico,2021-05-16,45.0
Mexico,2021-05-23,42.0
Mexico,2021-05-30,43.0
Mexico,2021-06-06,42.0
Mexico,2021-06-13,45.0
Mexico,2021-06-20,46.0
Mexico,2021-06-27,44.0
Mexico,2021-07-04,47.0
Mexico,2021-07-11,47.0
Mexico,2021-07-18,52.0
Mexico,2021-07-25,55.0
Mexico,2021-08-01,53.0
Mexico,2021-08-08,58.0
Mexico,2021-08-15,53.0
Mexico,2021-08-22,50.0
Mexico,2021-08-29,50.0
Mexico,2021-09-05,48.0
Mexico,2021-09-12,45.0
Mexico,2021-09-19,42.0
Mexico,2021-09-26,43.0
Mexico,2021-10-03,41.0
Mexico,2021-10-10,44.0
Mexico,2021-10-17,46.0
Mexico,2021-10-24,51.0
Mexico,2021-10-31,44.0
Mexico,2021-11-07,35.0
Mexico,2021-11-14,41.0
Mexico,2021-11-21,36.0
Mexico,2021-11-28,38.0
Mexico,2021-12-05,37.0
Mexico,2021-12-12,37.0
Mexico,2021-12-19,45.0
Mexico,2021-12-26,52.0
Mexico,2022-01-02,44.0
Mexico,2022-01-09,48.0
Mexico,2022-01-16,46.0
Mexico,2022-01-23,43.0
Mexico,2022-01-30,37.0
Mexico,2022-02-06,39.0
Mexico,2022-02-13,38.0
Mexico,2022-02-20,37.0
Mexico,2022-02-27,40.0
Mexico,2022-03-06,38.0
Mexico,2022-03-13,36.0
Mexico,2022-03-20,35.0
Mexico,2022-03-27,33.0
Mexico,2022-04-03,32.0
Mexico,2022-04-10,43.0
