Category: All categories

Week,medical treatment: (Worldwide)
2020-01-26,91
2020-02-02,92
2020-02-09,91
2020-02-16,88
2020-02-23,94
2020-03-01,92
2020-03-08,89
2020-03-15,81
2020-03-22,83
2020-03-29,75
2020-04-05,77
2020-04-12,76
2020-04-19,77
2020-04-26,81
2020-05-03,80
2020-05-10,75
2020-05-17,78
2020-05-24,68
2020-05-31,74
2020-06-07,75
2020-06-14,79
2020-06-21,77
2020-06-28,73
2020-07-05,79
2020-07-12,91
2020-07-19,78
2020-07-26,78
2020-08-02,66
2020-08-09,77
2020-08-16,79
2020-08-23,77
2020-08-30,79
2020-09-06,85
2020-09-13,90
2020-09-20,88
2020-09-27,88
2020-10-04,94
2020-10-11,86
2020-10-18,86
2020-10-25,86
2020-11-01,80
2020-11-08,78
2020-11-15,82
2020-11-22,70
2020-11-29,83
2020-12-06,85
2020-12-13,71
2020-12-20,59
2020-12-27,63
2021-01-03,83
2021-01-10,71
2021-01-17,78
2021-01-24,82
2021-01-31,87
2021-02-07,81
2021-02-14,82
2021-02-21,87
2021-02-28,86
2021-03-07,88
2021-03-14,83
2021-03-21,80
2021-03-28,84
2021-04-04,87
2021-04-11,90
2021-04-18,88
2021-04-25,85
2021-05-02,86
2021-05-09,86
2021-05-16,87
2021-05-23,85
2021-05-30,81
2021-06-06,85
2021-06-13,84
2021-06-20,80
2021-06-27,78
2021-07-04,72
2021-07-11,90
2021-07-18,81
2021-07-25,83
2021-08-01,85
2021-08-08,87
2021-08-15,88
2021-08-22,79
2021-08-29,88
2021-09-05,87
2021-09-12,92
2021-09-19,96
2021-09-26,93
2021-10-03,97
2021-10-10,92
2021-10-17,94
2021-10-24,90
2021-10-31,91
2021-11-07,99
2021-11-14,100
2021-11-21,88
2021-11-28,89
2021-12-05,92
2021-12-12,88
2021-12-19,71
2021-12-26,73
2022-01-02,89
2022-01-09,93
2022-01-16,86
2022-01-23,95
2022-01-30,95
2022-02-06,94
2022-02-13,99
2022-02-20,87
2022-02-27,96
2022-03-06,93
2022-03-13,99
2022-03-20,99
2022-03-27,91
2022-04-03,100
2022-04-10,93
