Category: All categories

Week,medical treatment: (Belgium)
2020-01-26,100
2020-02-02,0
2020-02-09,0
2020-02-16,0
2020-02-23,33
2020-03-01,0
2020-03-08,32
2020-03-15,32
2020-03-22,0
2020-03-29,0
2020-04-05,0
2020-04-12,61
2020-04-19,30
2020-04-26,0
2020-05-03,30
2020-05-10,0
2020-05-17,0
2020-05-24,0
2020-05-31,29
2020-06-07,28
2020-06-14,0
2020-06-21,0
2020-06-28,31
2020-07-05,0
2020-07-12,0
2020-07-19,36
2020-07-26,0
2020-08-02,0
2020-08-09,31
2020-08-16,63
2020-08-23,32
2020-08-30,32
2020-09-06,0
2020-09-13,0
2020-09-20,32
2020-09-27,0
2020-10-04,33
2020-10-11,0
2020-10-18,68
2020-10-25,0
2020-11-01,31
2020-11-08,32
2020-11-15,63
2020-11-22,32
2020-11-29,0
2020-12-06,0
2020-12-13,0
2020-12-20,0
2020-12-27,70
2021-01-03,0
2021-01-10,65
2021-01-17,0
2021-01-24,0
2021-01-31,32
2021-02-07,65
2021-02-14,66
2021-02-21,34
2021-02-28,0
2021-03-07,97
2021-03-14,0
2021-03-21,66
2021-03-28,0
2021-04-04,0
2021-04-11,0
2021-04-18,68
2021-04-25,0
2021-05-02,32
2021-05-09,66
2021-05-16,0
2021-05-23,0
2021-05-30,34
2021-06-06,34
2021-06-13,0
2021-06-20,0
2021-06-27,0
2021-07-04,0
2021-07-11,0
2021-07-18,0
2021-07-25,0
2021-08-01,0
2021-08-08,0
2021-08-15,74
2021-08-22,0
2021-08-29,0
2021-09-05,0
2021-09-12,0
2021-09-19,0
2021-09-26,0
2021-10-03,38
2021-10-10,39
2021-10-17,0
2021-10-24,38
2021-10-31,0
2021-11-07,38
2021-11-14,0
2021-11-21,36
2021-11-28,71
2021-12-05,37
2021-12-12,38
2021-12-19,0
2021-12-26,0
2022-01-02,0
2022-01-09,40
2022-01-16,0
2022-01-23,0
2022-01-30,0
2022-02-06,0
2022-02-13,81
2022-02-20,81
2022-02-27,0
2022-03-06,0
2022-03-13,0
2022-03-20,0
2022-03-27,40
2022-04-03,0
2022-04-10,0
