Country,Date,search_index
Vietnam,2020-01-26,74.0
Vietnam,2020-02-02,69.0
Vietnam,2020-02-09,65.0
Vietnam,2020-02-16,71.0
Vietnam,2020-02-23,77.0
Vietnam,2020-03-01,75.0
Vietnam,2020-03-08,74.0
Vietnam,2020-03-15,87.0
Vietnam,2020-03-22,75.0
Vietnam,2020-03-29,77.0
Vietnam,2020-04-05,72.0
Vietnam,2020-04-12,74.0
Vietnam,2020-04-19,71.0
Vietnam,2020-04-26,55.0
Vietnam,2020-05-03,63.0
Vietnam,2020-05-10,55.0
Vietnam,2020-05-17,98.0
Vietnam,2020-05-24,100.0
Vietnam,2020-05-31,77.0
Vietnam,2020-06-07,77.0
Vietnam,2020-06-14,84.0
Vietnam,2020-06-21,72.0
Vietnam,2020-06-28,79.0
Vietnam,2020-07-05,87.0
Vietnam,2020-07-12,78.0
Vietnam,2020-07-19,71.0
Vietnam,2020-07-26,64.0
Vietnam,2020-08-02,77.0
Vietnam,2020-08-09,72.0
Vietnam,2020-08-16,71.0
Vietnam,2020-08-23,75.0
Vietnam,2020-08-30,75.0
Vietnam,2020-09-06,59.0
Vietnam,2020-09-13,58.0
Vietnam,2020-09-20,59.0
Vietnam,2020-09-27,61.0
Vietnam,2020-10-04,61.0
Vietnam,2020-10-11,39.0
Vietnam,2020-10-18,38.0
Vietnam,2020-10-25,40.0
Vietnam,2020-11-01,42.0
Vietnam,2020-11-08,41.0
Vietnam,2020-11-15,26.0
Vietnam,2020-11-22,36.0
Vietnam,2020-11-29,44.0
Vietnam,2020-12-06,36.0
Vietnam,2020-12-13,47.0
Vietnam,2020-12-20,44.0
Vietnam,2020-12-27,41.0
Vietnam,2021-01-03,38.0
Vietnam,2021-01-10,22.0
Vietnam,2021-01-17,29.0
Vietnam,2021-01-24,30.0
Vietnam,2021-01-31,27.0
Vietnam,2021-02-07,31.0
Vietnam,2021-02-14,21.0
Vietnam,2021-02-21,28.0
Vietnam,2021-02-28,38.0
Vietnam,2021-03-07,31.0
Vietnam,2021-03-14,26.0
Vietnam,2021-03-21,31.0
Vietnam,2021-03-28,32.0
Vietnam,2021-04-04,31.0
Vietnam,2021-04-11,33.0
Vietnam,2021-04-18,40.0
Vietnam,2021-04-25,42.0
Vietnam,2021-05-02,27.0
Vietnam,2021-05-09,43.0
Vietnam,2021-05-16,33.0
Vietnam,2021-05-23,30.0
Vietnam,2021-05-30,36.0
Vietnam,2021-06-06,37.0
Vietnam,2021-06-13,29.0
Vietnam,2021-06-20,22.0
Vietnam,2021-06-27,35.0
Vietnam,2021-07-04,37.0
Vietnam,2021-07-11,33.0
Vietnam,2021-07-18,35.0
Vietnam,2021-07-25,32.0
Vietnam,2021-08-01,29.0
Vietnam,2021-08-08,31.0
Vietnam,2021-08-15,23.0
Vietnam,2021-08-22,30.0
Vietnam,2021-08-29,24.0
Vietnam,2021-09-05,23.0
Vietnam,2021-09-12,32.0
Vietnam,2021-09-19,33.0
Vietnam,2021-09-26,37.0
Vietnam,2021-10-03,43.0
Vietnam,2021-10-10,20.0
Vietnam,2021-10-17,22.0
Vietnam,2021-10-24,31.0
Vietnam,2021-10-31,35.0
Vietnam,2021-11-07,43.0
Vietnam,2021-11-14,38.0
Vietnam,2021-11-21,39.0
Vietnam,2021-11-28,43.0
Vietnam,2021-12-05,23.0
Vietnam,2021-12-12,19.0
Vietnam,2021-12-19,19.0
Vietnam,2021-12-26,25.0
Vietnam,2022-01-02,34.0
Vietnam,2022-01-09,25.0
Vietnam,2022-01-16,34.0
Vietnam,2022-01-23,37.0
Vietnam,2022-01-30,19.0
Vietnam,2022-02-06,29.0
Vietnam,2022-02-13,18.0
Vietnam,2022-02-20,27.0
Vietnam,2022-02-27,19.0
Vietnam,2022-03-06,27.0
Vietnam,2022-03-13,27.0
Vietnam,2022-03-20,34.0
Vietnam,2022-03-27,37.0
Vietnam,2022-04-03,26.0
Vietnam,2022-04-10,22.0
