Country,Date,search_index
France,2020-01-26,64.0
France,2020-02-02,57.0
France,2020-02-09,51.0
France,2020-02-16,61.0
France,2020-02-23,46.0
France,2020-03-01,57.0
France,2020-03-08,57.0
France,2020-03-15,41.0
France,2020-03-22,43.0
France,2020-03-29,48.0
France,2020-04-05,42.0
France,2020-04-12,39.0
France,2020-04-19,50.0
France,2020-04-26,35.0
France,2020-05-03,53.0
France,2020-05-10,45.0
France,2020-05-17,41.0
France,2020-05-24,41.0
France,2020-05-31,41.0
France,2020-06-07,41.0
France,2020-06-14,45.0
France,2020-06-21,49.0
France,2020-06-28,42.0
France,2020-07-05,39.0
France,2020-07-12,41.0
France,2020-07-19,40.0
France,2020-07-26,35.0
France,2020-08-02,40.0
France,2020-08-09,47.0
France,2020-08-16,45.0
France,2020-08-23,44.0
France,2020-08-30,38.0
France,2020-09-06,40.0
France,2020-09-13,41.0
France,2020-09-20,51.0
France,2020-09-27,49.0
France,2020-10-04,41.0
France,2020-10-11,55.0
France,2020-10-18,48.0
France,2020-10-25,51.0
France,2020-11-01,64.0
France,2020-11-08,59.0
France,2020-11-15,57.0
France,2020-11-22,44.0
France,2020-11-29,56.0
France,2020-12-06,50.0
France,2020-12-13,45.0
France,2020-12-20,39.0
France,2020-12-27,45.0
France,2021-01-03,43.0
France,2021-01-10,46.0
France,2021-01-17,43.0
France,2021-01-24,42.0
France,2021-01-31,40.0
France,2021-02-07,43.0
France,2021-02-14,48.0
France,2021-02-21,46.0
France,2021-02-28,41.0
France,2021-03-07,47.0
France,2021-03-14,49.0
France,2021-03-21,45.0
France,2021-03-28,46.0
France,2021-04-04,40.0
France,2021-04-11,42.0
France,2021-04-18,46.0
France,2021-04-25,54.0
France,2021-05-02,45.0
France,2021-05-09,45.0
France,2021-05-16,57.0
France,2021-05-23,44.0
France,2021-05-30,41.0
France,2021-06-06,42.0
France,2021-06-13,42.0
France,2021-06-20,37.0
France,2021-06-27,33.0
France,2021-07-04,35.0
France,2021-07-11,32.0
France,2021-07-18,34.0
France,2021-07-25,33.0
France,2021-08-01,36.0
France,2021-08-08,34.0
France,2021-08-15,48.0
France,2021-08-22,55.0
France,2021-08-29,49.0
France,2021-09-05,41.0
France,2021-09-12,46.0
France,2021-09-19,59.0
France,2021-09-26,59.0
France,2021-10-03,58.0
France,2021-10-10,54.0
France,2021-10-17,54.0
France,2021-10-24,49.0
France,2021-10-31,59.0
France,2021-11-07,71.0
France,2021-11-14,59.0
France,2021-11-21,54.0
France,2021-11-28,54.0
France,2021-12-05,61.0
France,2021-12-12,57.0
France,2021-12-19,53.0
France,2021-12-26,43.0
France,2022-01-02,50.0
France,2022-01-09,53.0
France,2022-01-16,49.0
France,2022-01-23,54.0
France,2022-01-30,59.0
France,2022-02-06,59.0
France,2022-02-13,50.0
France,2022-02-20,66.0
France,2022-02-27,52.0
France,2022-03-06,58.0
France,2022-03-13,56.0
France,2022-03-20,65.0
France,2022-03-27,71.0
France,2022-04-03,76.0
France,2022-04-10,100.0
