Country,Date,search_index
Spain,2020-01-26,92.0
Spain,2020-02-02,76.0
Spain,2020-02-09,88.0
Spain,2020-02-16,94.0
Spain,2020-02-23,80.0
Spain,2020-03-01,78.0
Spain,2020-03-08,72.0
Spain,2020-03-15,62.0
Spain,2020-03-22,59.0
Spain,2020-03-29,41.0
Spain,2020-04-05,55.0
Spain,2020-04-12,61.0
Spain,2020-04-19,71.0
Spain,2020-04-26,43.0
Spain,2020-05-03,55.0
Spain,2020-05-10,74.0
Spain,2020-05-17,70.0
Spain,2020-05-24,73.0
Spain,2020-05-31,63.0
Spain,2020-06-07,58.0
Spain,2020-06-14,64.0
Spain,2020-06-21,56.0
Spain,2020-06-28,62.0
Spain,2020-07-05,72.0
Spain,2020-07-12,57.0
Spain,2020-07-19,49.0
Spain,2020-07-26,93.0
Spain,2020-08-02,94.0
Spain,2020-08-09,66.0
Spain,2020-08-16,68.0
Spain,2020-08-23,89.0
Spain,2020-08-30,56.0
Spain,2020-09-06,60.0
Spain,2020-09-13,81.0
Spain,2020-09-20,41.0
Spain,2020-09-27,56.0
Spain,2020-10-04,59.0
Spain,2020-10-11,62.0
Spain,2020-10-18,58.0
Spain,2020-10-25,70.0
Spain,2020-11-01,81.0
Spain,2020-11-08,48.0
Spain,2020-11-15,48.0
Spain,2020-11-22,56.0
Spain,2020-11-29,53.0
Spain,2020-12-06,61.0
Spain,2020-12-13,42.0
Spain,2020-12-20,30.0
Spain,2020-12-27,58.0
Spain,2021-01-03,37.0
Spain,2021-01-10,50.0
Spain,2021-01-17,55.0
Spain,2021-01-24,72.0
Spain,2021-01-31,50.0
Spain,2021-02-07,67.0
Spain,2021-02-14,55.0
Spain,2021-02-21,54.0
Spain,2021-02-28,52.0
Spain,2021-03-07,45.0
Spain,2021-03-14,55.0
Spain,2021-03-21,31.0
Spain,2021-03-28,57.0
Spain,2021-04-04,58.0
Spain,2021-04-11,62.0
Spain,2021-04-18,55.0
Spain,2021-04-25,60.0
Spain,2021-05-02,66.0
Spain,2021-05-09,45.0
Spain,2021-05-16,58.0
Spain,2021-05-23,49.0
Spain,2021-05-30,55.0
Spain,2021-06-06,53.0
Spain,2021-06-13,39.0
Spain,2021-06-20,39.0
Spain,2021-06-27,59.0
Spain,2021-07-04,74.0
Spain,2021-07-11,63.0
Spain,2021-07-18,53.0
Spain,2021-07-25,58.0
Spain,2021-08-01,44.0
Spain,2021-08-08,61.0
Spain,2021-08-15,47.0
Spain,2021-08-22,66.0
Spain,2021-08-29,58.0
Spain,2021-09-05,60.0
Spain,2021-09-12,64.0
Spain,2021-09-19,69.0
Spain,2021-09-26,49.0
Spain,2021-10-03,67.0
Spain,2021-10-10,47.0
Spain,2021-10-17,66.0
Spain,2021-10-24,63.0
Spain,2021-10-31,51.0
Spain,2021-11-07,56.0
Spain,2021-11-14,49.0
Spain,2021-11-21,66.0
Spain,2021-11-28,70.0
Spain,2021-12-05,73.0
Spain,2021-12-12,72.0
Spain,2021-12-19,59.0
Spain,2021-12-26,84.0
Spain,2022-01-02,43.0
Spain,2022-01-09,100.0
Spain,2022-01-16,73.0
Spain,2022-01-23,70.0
Spain,2022-01-30,82.0
Spain,2022-02-06,60.0
Spain,2022-02-13,47.0
Spain,2022-02-20,63.0
Spain,2022-02-27,62.0
Spain,2022-03-06,47.0
Spain,2022-03-13,67.0
Spain,2022-03-20,58.0
Spain,2022-03-27,73.0
Spain,2022-04-03,86.0
Spain,2022-04-10,48.0
