Country,Date,search_index
Switzerland,2020-01-26,59.0
Switzerland,2020-02-02,60.0
Switzerland,2020-02-09,53.0
Switzerland,2020-02-16,63.0
Switzerland,2020-02-23,65.0
Switzerland,2020-03-01,64.0
Switzerland,2020-03-08,84.0
Switzerland,2020-03-15,66.0
Switzerland,2020-03-22,42.0
Switzerland,2020-03-29,34.0
Switzerland,2020-04-05,29.0
Switzerland,2020-04-12,37.0
Switzerland,2020-04-19,39.0
Switzerland,2020-04-26,41.0
Switzerland,2020-05-03,38.0
Switzerland,2020-05-10,44.0
Switzerland,2020-05-17,48.0
Switzerland,2020-05-24,48.0
Switzerland,2020-05-31,57.0
Switzerland,2020-06-07,56.0
Switzerland,2020-06-14,58.0
Switzerland,2020-06-21,55.0
Switzerland,2020-06-28,65.0
Switzerland,2020-07-05,55.0
Switzerland,2020-07-12,54.0
Switzerland,2020-07-19,58.0
Switzerland,2020-07-26,58.0
Switzerland,2020-08-02,53.0
Switzerland,2020-08-09,50.0
Switzerland,2020-08-16,60.0
Switzerland,2020-08-23,55.0
Switzerland,2020-08-30,51.0
Switzerland,2020-09-06,57.0
Switzerland,2020-09-13,54.0
Switzerland,2020-09-20,49.0
Switzerland,2020-09-27,53.0
Switzerland,2020-10-04,49.0
Switzerland,2020-10-11,44.0
Switzerland,2020-10-18,40.0
Switzerland,2020-10-25,37.0
Switzerland,2020-11-01,35.0
Switzerland,2020-11-08,40.0
Switzerland,2020-11-15,37.0
Switzerland,2020-11-22,39.0
Switzerland,2020-11-29,46.0
Switzerland,2020-12-06,39.0
Switzerland,2020-12-13,41.0
Switzerland,2020-12-20,49.0
Switzerland,2020-12-27,45.0
Switzerland,2021-01-03,42.0
Switzerland,2021-01-10,39.0
Switzerland,2021-01-17,43.0
Switzerland,2021-01-24,44.0
Switzerland,2021-01-31,43.0
Switzerland,2021-02-07,43.0
Switzerland,2021-02-14,41.0
Switzerland,2021-02-21,48.0
Switzerland,2021-02-28,44.0
Switzerland,2021-03-07,47.0
Switzerland,2021-03-14,44.0
Switzerland,2021-03-21,47.0
Switzerland,2021-03-28,45.0
Switzerland,2021-04-04,52.0
Switzerland,2021-04-11,53.0
Switzerland,2021-04-18,53.0
Switzerland,2021-04-25,53.0
Switzerland,2021-05-02,59.0
Switzerland,2021-05-09,65.0
Switzerland,2021-05-16,69.0
Switzerland,2021-05-23,69.0
Switzerland,2021-05-30,71.0
Switzerland,2021-06-06,77.0
Switzerland,2021-06-13,72.0
Switzerland,2021-06-20,78.0
Switzerland,2021-06-27,88.0
Switzerland,2021-07-04,95.0
Switzerland,2021-07-11,88.0
Switzerland,2021-07-18,100.0
Switzerland,2021-07-25,80.0
Switzerland,2021-08-01,76.0
Switzerland,2021-08-08,79.0
Switzerland,2021-08-15,68.0
Switzerland,2021-08-22,77.0
Switzerland,2021-08-29,71.0
Switzerland,2021-09-05,67.0
Switzerland,2021-09-12,73.0
Switzerland,2021-09-19,76.0
Switzerland,2021-09-26,70.0
Switzerland,2021-10-03,74.0
Switzerland,2021-10-10,77.0
Switzerland,2021-10-17,63.0
Switzerland,2021-10-24,58.0
Switzerland,2021-10-31,54.0
Switzerland,2021-11-07,57.0
Switzerland,2021-11-14,58.0
Switzerland,2021-11-21,57.0
Switzerland,2021-11-28,87.0
Switzerland,2021-12-05,67.0
Switzerland,2021-12-12,71.0
Switzerland,2021-12-19,75.0
Switzerland,2021-12-26,72.0
Switzerland,2022-01-02,63.0
Switzerland,2022-01-09,60.0
Switzerland,2022-01-16,58.0
Switzerland,2022-01-23,62.0
Switzerland,2022-01-30,64.0
Switzerland,2022-02-06,72.0
Switzerland,2022-02-13,65.0
Switzerland,2022-02-20,64.0
Switzerland,2022-02-27,61.0
Switzerland,2022-03-06,67.0
Switzerland,2022-03-13,70.0
Switzerland,2022-03-20,63.0
Switzerland,2022-03-27,68.0
Switzerland,2022-04-03,71.0
Switzerland,2022-04-10,76.0
