Country,Date,search_index
United Arab Emirates,2020-01-26,50.0
United Arab Emirates,2020-02-02,50.0
United Arab Emirates,2020-02-09,47.0
United Arab Emirates,2020-02-16,48.0
United Arab Emirates,2020-02-23,63.0
United Arab Emirates,2020-03-01,90.0
United Arab Emirates,2020-03-08,95.0
United Arab Emirates,2020-03-15,65.0
United Arab Emirates,2020-03-22,30.0
United Arab Emirates,2020-03-29,27.0
United Arab Emirates,2020-04-05,29.0
United Arab Emirates,2020-04-12,29.0
United Arab Emirates,2020-04-19,28.0
United Arab Emirates,2020-04-26,30.0
United Arab Emirates,2020-05-03,34.0
United Arab Emirates,2020-05-10,34.0
United Arab Emirates,2020-05-17,31.0
United Arab Emirates,2020-05-24,34.0
United Arab Emirates,2020-05-31,40.0
United Arab Emirates,2020-06-07,52.0
United Arab Emirates,2020-06-14,63.0
United Arab Emirates,2020-06-21,71.0
United Arab Emirates,2020-06-28,69.0
United Arab Emirates,2020-07-05,63.0
United Arab Emirates,2020-07-12,65.0
United Arab Emirates,2020-07-19,60.0
United Arab Emirates,2020-07-26,54.0
United Arab Emirates,2020-08-02,59.0
United Arab Emirates,2020-08-09,58.0
United Arab Emirates,2020-08-16,54.0
United Arab Emirates,2020-08-23,51.0
United Arab Emirates,2020-08-30,47.0
United Arab Emirates,2020-09-06,44.0
United Arab Emirates,2020-09-13,53.0
United Arab Emirates,2020-09-20,44.0
United Arab Emirates,2020-09-27,50.0
United Arab Emirates,2020-10-04,49.0
United Arab Emirates,2020-10-11,46.0
United Arab Emirates,2020-10-18,47.0
United Arab Emirates,2020-10-25,45.0
United Arab Emirates,2020-11-01,46.0
United Arab Emirates,2020-11-08,56.0
United Arab Emirates,2020-11-15,58.0
United Arab Emirates,2020-11-22,57.0
United Arab Emirates,2020-11-29,49.0
United Arab Emirates,2020-12-06,58.0
United Arab Emirates,2020-12-13,56.0
United Arab Emirates,2020-12-20,69.0
United Arab Emirates,2020-12-27,52.0
United Arab Emirates,2021-01-03,57.0
United Arab Emirates,2021-01-10,60.0
United Arab Emirates,2021-01-17,58.0
United Arab Emirates,2021-01-24,60.0
United Arab Emirates,2021-01-31,59.0
United Arab Emirates,2021-02-07,54.0
United Arab Emirates,2021-02-14,57.0
United Arab Emirates,2021-02-21,59.0
United Arab Emirates,2021-02-28,57.0
United Arab Emirates,2021-03-07,58.0
United Arab Emirates,2021-03-14,61.0
United Arab Emirates,2021-03-21,58.0
United Arab Emirates,2021-03-28,59.0
United Arab Emirates,2021-04-04,50.0
United Arab Emirates,2021-04-11,46.0
United Arab Emirates,2021-04-18,68.0
United Arab Emirates,2021-04-25,55.0
United Arab Emirates,2021-05-02,68.0
United Arab Emirates,2021-05-09,64.0
United Arab Emirates,2021-05-16,72.0
United Arab Emirates,2021-05-23,67.0
United Arab Emirates,2021-05-30,80.0
United Arab Emirates,2021-06-06,74.0
United Arab Emirates,2021-06-13,79.0
United Arab Emirates,2021-06-20,92.0
United Arab Emirates,2021-06-27,95.0
United Arab Emirates,2021-07-04,88.0
United Arab Emirates,2021-07-11,95.0
United Arab Emirates,2021-07-18,73.0
United Arab Emirates,2021-07-25,88.0
United Arab Emirates,2021-08-01,100.0
United Arab Emirates,2021-08-08,83.0
United Arab Emirates,2021-08-15,73.0
United Arab Emirates,2021-08-22,70.0
United Arab Emirates,2021-08-29,83.0
United Arab Emirates,2021-09-05,71.0
United Arab Emirates,2021-09-12,73.0
United Arab Emirates,2021-09-19,66.0
United Arab Emirates,2021-09-26,60.0
United Arab Emirates,2021-10-03,63.0
United Arab Emirates,2021-10-10,63.0
United Arab Emirates,2021-10-17,63.0
United Arab Emirates,2021-10-24,60.0
United Arab Emirates,2021-10-31,56.0
United Arab Emirates,2021-11-07,63.0
United Arab Emirates,2021-11-14,62.0
United Arab Emirates,2021-11-21,74.0
United Arab Emirates,2021-11-28,91.0
United Arab Emirates,2021-12-05,84.0
United Arab Emirates,2021-12-12,74.0
United Arab Emirates,2021-12-19,72.0
United Arab Emirates,2021-12-26,68.0
United Arab Emirates,2022-01-02,82.0
United Arab Emirates,2022-01-09,59.0
United Arab Emirates,2022-01-16,62.0
United Arab Emirates,2022-01-23,61.0
United Arab Emirates,2022-01-30,55.0
United Arab Emirates,2022-02-06,61.0
United Arab Emirates,2022-02-13,63.0
United Arab Emirates,2022-02-20,67.0
United Arab Emirates,2022-02-27,65.0
United Arab Emirates,2022-03-06,65.0
United Arab Emirates,2022-03-13,65.0
United Arab Emirates,2022-03-20,63.0
United Arab Emirates,2022-03-27,60.0
United Arab Emirates,2022-04-03,58.0
United Arab Emirates,2022-04-10,58.0
