Country,Date,search_index
Poland,2020-01-26,65.0
Poland,2020-02-02,55.0
Poland,2020-02-09,61.0
Poland,2020-02-16,62.0
Poland,2020-02-23,50.0
Poland,2020-03-01,47.0
Poland,2020-03-08,48.0
Poland,2020-03-15,35.0
Poland,2020-03-22,27.0
Poland,2020-03-29,25.0
Poland,2020-04-05,24.0
Poland,2020-04-12,29.0
Poland,2020-04-19,29.0
Poland,2020-04-26,31.0
Poland,2020-05-03,28.0
Poland,2020-05-10,31.0
Poland,2020-05-17,31.0
Poland,2020-05-24,37.0
Poland,2020-05-31,41.0
Poland,2020-06-07,39.0
Poland,2020-06-14,45.0
Poland,2020-06-21,45.0
Poland,2020-06-28,55.0
Poland,2020-07-05,55.0
Poland,2020-07-12,57.0
Poland,2020-07-19,55.0
Poland,2020-07-26,58.0
Poland,2020-08-02,60.0
Poland,2020-08-09,58.0
Poland,2020-08-16,51.0
Poland,2020-08-23,49.0
Poland,2020-08-30,42.0
Poland,2020-09-06,45.0
Poland,2020-09-13,46.0
Poland,2020-09-20,41.0
Poland,2020-09-27,43.0
Poland,2020-10-04,38.0
Poland,2020-10-11,27.0
Poland,2020-10-18,28.0
Poland,2020-10-25,26.0
Poland,2020-11-01,27.0
Poland,2020-11-08,29.0
Poland,2020-11-15,29.0
Poland,2020-11-22,33.0
Poland,2020-11-29,29.0
Poland,2020-12-06,34.0
Poland,2020-12-13,33.0
Poland,2020-12-20,34.0
Poland,2020-12-27,36.0
Poland,2021-01-03,36.0
Poland,2021-01-10,32.0
Poland,2021-01-17,32.0
Poland,2021-01-24,33.0
Poland,2021-01-31,33.0
Poland,2021-02-07,35.0
Poland,2021-02-14,37.0
Poland,2021-02-21,40.0
Poland,2021-02-28,37.0
Poland,2021-03-07,40.0
Poland,2021-03-14,38.0
Poland,2021-03-21,30.0
Poland,2021-03-28,31.0
Poland,2021-04-04,38.0
Poland,2021-04-11,41.0
Poland,2021-04-18,44.0
Poland,2021-04-25,46.0
Poland,2021-05-02,50.0
Poland,2021-05-09,57.0
Poland,2021-05-16,66.0
Poland,2021-05-23,67.0
Poland,2021-05-30,71.0
Poland,2021-06-06,82.0
Poland,2021-06-13,78.0
Poland,2021-06-20,77.0
Poland,2021-06-27,87.0
Poland,2021-07-04,87.0
Poland,2021-07-11,100.0
Poland,2021-07-18,95.0
Poland,2021-07-25,87.0
Poland,2021-08-01,87.0
Poland,2021-08-08,78.0
Poland,2021-08-15,82.0
Poland,2021-08-22,75.0
Poland,2021-08-29,62.0
Poland,2021-09-05,69.0
Poland,2021-09-12,63.0
Poland,2021-09-19,61.0
Poland,2021-09-26,51.0
Poland,2021-10-03,53.0
Poland,2021-10-10,51.0
Poland,2021-10-17,51.0
Poland,2021-10-24,46.0
Poland,2021-10-31,45.0
Poland,2021-11-07,47.0
Poland,2021-11-14,42.0
Poland,2021-11-21,44.0
Poland,2021-11-28,46.0
Poland,2021-12-05,46.0
Poland,2021-12-12,43.0
Poland,2021-12-19,50.0
Poland,2021-12-26,65.0
Poland,2022-01-02,63.0
Poland,2022-01-09,60.0
Poland,2022-01-16,61.0
Poland,2022-01-23,58.0
Poland,2022-01-30,57.0
Poland,2022-02-06,64.0
Poland,2022-02-13,64.0
Poland,2022-02-20,53.0
Poland,2022-02-27,42.0
Poland,2022-03-06,49.0
Poland,2022-03-13,53.0
Poland,2022-03-20,53.0
Poland,2022-03-27,56.0
Poland,2022-04-03,61.0
Poland,2022-04-10,58.0
