Country,Date,search_index
Spain,2020-01-26,58.0
Spain,2020-02-02,58.0
Spain,2020-02-09,61.0
Spain,2020-02-16,57.0
Spain,2020-02-23,65.0
Spain,2020-03-01,65.0
Spain,2020-03-08,89.0
Spain,2020-03-15,48.0
Spain,2020-03-22,29.0
Spain,2020-03-29,30.0
Spain,2020-04-05,31.0
Spain,2020-04-12,32.0
Spain,2020-04-19,33.0
Spain,2020-04-26,34.0
Spain,2020-05-03,33.0
Spain,2020-05-10,34.0
Spain,2020-05-17,34.0
Spain,2020-05-24,35.0
Spain,2020-05-31,41.0
Spain,2020-06-07,36.0
Spain,2020-06-14,43.0
Spain,2020-06-21,41.0
Spain,2020-06-28,52.0
Spain,2020-07-05,47.0
Spain,2020-07-12,44.0
Spain,2020-07-19,54.0
Spain,2020-07-26,65.0
Spain,2020-08-02,58.0
Spain,2020-08-09,51.0
Spain,2020-08-16,45.0
Spain,2020-08-23,44.0
Spain,2020-08-30,43.0
Spain,2020-09-06,43.0
Spain,2020-09-13,41.0
Spain,2020-09-20,41.0
Spain,2020-09-27,38.0
Spain,2020-10-04,37.0
Spain,2020-10-11,40.0
Spain,2020-10-18,35.0
Spain,2020-10-25,39.0
Spain,2020-11-01,39.0
Spain,2020-11-08,52.0
Spain,2020-11-15,50.0
Spain,2020-11-22,48.0
Spain,2020-11-29,42.0
Spain,2020-12-06,51.0
Spain,2020-12-13,43.0
Spain,2020-12-20,45.0
Spain,2020-12-27,40.0
Spain,2021-01-03,40.0
Spain,2021-01-10,36.0
Spain,2021-01-17,35.0
Spain,2021-01-24,38.0
Spain,2021-01-31,36.0
Spain,2021-02-07,36.0
Spain,2021-02-14,36.0
Spain,2021-02-21,35.0
Spain,2021-02-28,38.0
Spain,2021-03-07,37.0
Spain,2021-03-14,38.0
Spain,2021-03-21,39.0
Spain,2021-03-28,41.0
Spain,2021-04-04,39.0
Spain,2021-04-11,39.0
Spain,2021-04-18,42.0
Spain,2021-04-25,43.0
Spain,2021-05-02,52.0
Spain,2021-05-09,54.0
Spain,2021-05-16,54.0
Spain,2021-05-23,53.0
Spain,2021-05-30,60.0
Spain,2021-06-06,62.0
Spain,2021-06-13,67.0
Spain,2021-06-20,79.0
Spain,2021-06-27,81.0
Spain,2021-07-04,85.0
Spain,2021-07-11,91.0
Spain,2021-07-18,92.0
Spain,2021-07-25,94.0
Spain,2021-08-01,100.0
Spain,2021-08-08,85.0
Spain,2021-08-15,77.0
Spain,2021-08-22,97.0
Spain,2021-08-29,76.0
Spain,2021-09-05,75.0
Spain,2021-09-12,83.0
Spain,2021-09-19,75.0
Spain,2021-09-26,69.0
Spain,2021-10-03,73.0
Spain,2021-10-10,70.0
Spain,2021-10-17,68.0
Spain,2021-10-24,62.0
Spain,2021-10-31,64.0
Spain,2021-11-07,71.0
Spain,2021-11-14,67.0
Spain,2021-11-21,74.0
Spain,2021-11-28,90.0
Spain,2021-12-05,70.0
Spain,2021-12-12,69.0
Spain,2021-12-19,72.0
Spain,2021-12-26,78.0
Spain,2022-01-02,86.0
Spain,2022-01-09,65.0
Spain,2022-01-16,65.0
Spain,2022-01-23,69.0
Spain,2022-01-30,62.0
Spain,2022-02-06,75.0
Spain,2022-02-13,69.0
Spain,2022-02-20,68.0
Spain,2022-02-27,60.0
Spain,2022-03-06,61.0
Spain,2022-03-13,71.0
Spain,2022-03-20,70.0
Spain,2022-03-27,70.0
Spain,2022-04-03,71.0
Spain,2022-04-10,65.0
