Country,Date,search_index
Canada,2020-01-26,82.0
Canada,2020-02-02,95.0
Canada,2020-02-09,84.0
Canada,2020-02-16,84.0
Canada,2020-02-23,87.0
Canada,2020-03-01,76.0
Canada,2020-03-08,100.0
Canada,2020-03-15,90.0
Canada,2020-03-22,38.0
Canada,2020-03-29,31.0
Canada,2020-04-05,27.0
Canada,2020-04-12,26.0
Canada,2020-04-19,24.0
Canada,2020-04-26,25.0
Canada,2020-05-03,27.0
Canada,2020-05-10,28.0
Canada,2020-05-17,28.0
Canada,2020-05-24,26.0
Canada,2020-05-31,28.0
Canada,2020-06-07,28.0
Canada,2020-06-14,28.0
Canada,2020-06-21,28.0
Canada,2020-06-28,29.0
Canada,2020-07-05,29.0
Canada,2020-07-12,31.0
Canada,2020-07-19,30.0
Canada,2020-07-26,30.0
Canada,2020-08-02,32.0
Canada,2020-08-09,31.0
Canada,2020-08-16,41.0
Canada,2020-08-23,35.0
Canada,2020-08-30,31.0
Canada,2020-09-06,31.0
Canada,2020-09-13,29.0
Canada,2020-09-20,28.0
Canada,2020-09-27,28.0
Canada,2020-10-04,27.0
Canada,2020-10-11,28.0
Canada,2020-10-18,29.0
Canada,2020-10-25,26.0
Canada,2020-11-01,24.0
Canada,2020-11-08,28.0
Canada,2020-11-15,29.0
Canada,2020-11-22,33.0
Canada,2020-11-29,33.0
Canada,2020-12-06,36.0
Canada,2020-12-13,36.0
Canada,2020-12-20,37.0
Canada,2020-12-27,36.0
Canada,2021-01-03,33.0
Canada,2021-01-10,32.0
Canada,2021-01-17,29.0
Canada,2021-01-24,27.0
Canada,2021-01-31,26.0
Canada,2021-02-07,25.0
Canada,2021-02-14,26.0
Canada,2021-02-21,25.0
Canada,2021-02-28,25.0
Canada,2021-03-07,25.0
Canada,2021-03-14,26.0
Canada,2021-03-21,25.0
Canada,2021-03-28,25.0
Canada,2021-04-04,24.0
Canada,2021-04-11,25.0
Canada,2021-04-18,28.0
Canada,2021-04-25,24.0
Canada,2021-05-02,25.0
Canada,2021-05-09,26.0
Canada,2021-05-16,28.0
Canada,2021-05-23,29.0
Canada,2021-05-30,30.0
Canada,2021-06-06,33.0
Canada,2021-06-13,34.0
Canada,2021-06-20,37.0
Canada,2021-06-27,37.0
Canada,2021-07-04,41.0
Canada,2021-07-11,45.0
Canada,2021-07-18,50.0
Canada,2021-07-25,46.0
Canada,2021-08-01,47.0
Canada,2021-08-08,48.0
Canada,2021-08-15,52.0
Canada,2021-08-22,46.0
Canada,2021-08-29,46.0
Canada,2021-09-05,46.0
Canada,2021-09-12,49.0
Canada,2021-09-19,48.0
Canada,2021-09-26,44.0
Canada,2021-10-03,46.0
Canada,2021-10-10,52.0
Canada,2021-10-17,46.0
Canada,2021-10-24,46.0
Canada,2021-10-31,45.0
Canada,2021-11-07,47.0
Canada,2021-11-14,49.0
Canada,2021-11-21,47.0
Canada,2021-11-28,50.0
Canada,2021-12-05,45.0
Canada,2021-12-12,47.0
Canada,2021-12-19,50.0
Canada,2021-12-26,60.0
Canada,2022-01-02,82.0
Canada,2022-01-09,46.0
Canada,2022-01-16,48.0
Canada,2022-01-23,44.0
Canada,2022-01-30,45.0
Canada,2022-02-06,45.0
Canada,2022-02-13,54.0
Canada,2022-02-20,62.0
Canada,2022-02-27,66.0
Canada,2022-03-06,62.0
Canada,2022-03-13,63.0
Canada,2022-03-20,65.0
Canada,2022-03-27,58.0
Canada,2022-04-03,66.0
Canada,2022-04-10,66.0
