Country,Date,search_index
Thailand,2020-01-26,84.0
Thailand,2020-02-02,100.0
Thailand,2020-02-09,87.0
Thailand,2020-02-16,92.0
Thailand,2020-02-23,90.0
Thailand,2020-03-01,82.0
Thailand,2020-03-08,98.0
Thailand,2020-03-15,99.0
Thailand,2020-03-22,69.0
Thailand,2020-03-29,72.0
Thailand,2020-04-05,96.0
Thailand,2020-04-12,70.0
Thailand,2020-04-19,88.0
Thailand,2020-04-26,79.0
Thailand,2020-05-03,77.0
Thailand,2020-05-10,94.0
Thailand,2020-05-17,95.0
Thailand,2020-05-24,94.0
Thailand,2020-05-31,76.0
Thailand,2020-06-07,85.0
Thailand,2020-06-14,86.0
Thailand,2020-06-21,97.0
Thailand,2020-06-28,84.0
Thailand,2020-07-05,88.0
Thailand,2020-07-12,84.0
Thailand,2020-07-19,92.0
Thailand,2020-07-26,73.0
Thailand,2020-08-02,89.0
Thailand,2020-08-09,84.0
Thailand,2020-08-16,84.0
Thailand,2020-08-23,88.0
Thailand,2020-08-30,91.0
Thailand,2020-09-06,81.0
Thailand,2020-09-13,81.0
Thailand,2020-09-20,96.0
Thailand,2020-09-27,82.0
Thailand,2020-10-04,74.0
Thailand,2020-10-11,73.0
Thailand,2020-10-18,77.0
Thailand,2020-10-25,69.0
Thailand,2020-11-01,75.0
Thailand,2020-11-08,79.0
Thailand,2020-11-15,69.0
Thailand,2020-11-22,82.0
Thailand,2020-11-29,73.0
Thailand,2020-12-06,81.0
Thailand,2020-12-13,57.0
Thailand,2020-12-20,74.0
Thailand,2020-12-27,39.0
Thailand,2021-01-03,65.0
Thailand,2021-01-10,71.0
Thailand,2021-01-17,81.0
Thailand,2021-01-24,68.0
Thailand,2021-01-31,80.0
Thailand,2021-02-07,68.0
Thailand,2021-02-14,76.0
Thailand,2021-02-21,64.0
Thailand,2021-02-28,73.0
Thailand,2021-03-07,76.0
Thailand,2021-03-14,69.0
Thailand,2021-03-21,76.0
Thailand,2021-03-28,75.0
Thailand,2021-04-04,59.0
Thailand,2021-04-11,39.0
Thailand,2021-04-18,60.0
Thailand,2021-04-25,69.0
Thailand,2021-05-02,64.0
Thailand,2021-05-09,75.0
Thailand,2021-05-16,87.0
Thailand,2021-05-23,74.0
Thailand,2021-05-30,68.0
Thailand,2021-06-06,64.0
Thailand,2021-06-13,52.0
Thailand,2021-06-20,69.0
Thailand,2021-06-27,66.0
Thailand,2021-07-04,60.0
Thailand,2021-07-11,66.0
Thailand,2021-07-18,63.0
Thailand,2021-07-25,59.0
Thailand,2021-08-01,65.0
Thailand,2021-08-08,61.0
Thailand,2021-08-15,62.0
Thailand,2021-08-22,76.0
Thailand,2021-08-29,60.0
Thailand,2021-09-05,65.0
Thailand,2021-09-12,84.0
Thailand,2021-09-19,64.0
Thailand,2021-09-26,82.0
Thailand,2021-10-03,69.0
Thailand,2021-10-10,68.0
Thailand,2021-10-17,59.0
Thailand,2021-10-24,71.0
Thailand,2021-10-31,72.0
Thailand,2021-11-07,69.0
Thailand,2021-11-14,77.0
Thailand,2021-11-21,73.0
Thailand,2021-11-28,69.0
Thailand,2021-12-05,62.0
Thailand,2021-12-12,69.0
Thailand,2021-12-19,60.0
Thailand,2021-12-26,43.0
Thailand,2022-01-02,59.0
Thailand,2022-01-09,64.0
Thailand,2022-01-16,81.0
Thailand,2022-01-23,75.0
Thailand,2022-01-30,56.0
Thailand,2022-02-06,81.0
Thailand,2022-02-13,62.0
Thailand,2022-02-20,73.0
Thailand,2022-02-27,76.0
Thailand,2022-03-06,74.0
Thailand,2022-03-13,66.0
Thailand,2022-03-20,57.0
Thailand,2022-03-27,69.0
Thailand,2022-04-03,71.0
Thailand,2022-04-10,42.0
