CountryName,Date,new_cases,Search Index
Australia,2020-01-26,12.0,63.0
Australia,2020-02-02,3.0,69.0
Australia,2020-02-09,0.0,72.0
Australia,2020-02-16,0.0,82.0
Australia,2020-02-23,10.0,82.0
Australia,2020-03-01,38.0,80.0
Australia,2020-03-08,187.0,74.0
Australia,2020-03-15,821.0,79.0
Australia,2020-03-22,2569.0,71.0
Australia,2020-03-29,1910.0,82.0
Australia,2020-04-05,753.0,75.0
Australia,2020-04-12,265.0,75.0
Australia,2020-04-19,126.0,78.0
Australia,2020-04-26,105.0,80.0
Australia,2020-05-03,140.0,86.0
Australia,2020-05-10,105.0,89.0
Australia,2020-05-17,70.0,100.0
Australia,2020-05-24,78.0,86.0
Australia,2020-05-31,67.0,86.0
Australia,2020-06-07,61.0,77.0
Australia,2020-06-14,141.0,83.0
Australia,2020-06-21,225.0,83.0
Australia,2020-06-28,757.0,70.0
Australia,2020-07-05,1354.0,70.0
Australia,2020-07-12,2005.0,72.0
Australia,2020-07-19,2601.0,73.0
Australia,2020-07-26,3492.0,78.0
Australia,2020-08-02,3189.0,80.0
Australia,2020-08-09,2203.0,79.0
Australia,2020-08-16,1524.0,75.0
Australia,2020-08-23,859.0,75.0
Australia,2020-08-30,608.0,93.0
Australia,2020-09-06,373.0,81.0
Australia,2020-09-13,247.0,80.0
Australia,2020-09-20,142.0,71.0
Australia,2020-09-27,95.0,63.0
Australia,2020-10-04,128.0,69.0
Australia,2020-10-11,127.0,65.0
Australia,2020-10-18,123.0,66.0
Australia,2020-10-25,82.0,58.0
Australia,2020-11-01,63.0,61.0
Australia,2020-11-08,53.0,62.0
Australia,2020-11-15,110.0,65.0
Australia,2020-11-22,71.0,62.0
Australia,2020-11-29,73.0,56.0
Australia,2020-12-06,65.0,58.0
Australia,2020-12-13,138.0,57.0
Australia,2020-12-20,140.0,41.0
Australia,2020-12-27,176.0,31.0
Australia,2021-01-03,111.0,44.0
Australia,2021-01-10,113.0,53.0
Australia,2021-01-17,58.0,55.0
Australia,2021-01-24,45.0,54.0
Australia,2021-01-31,40.0,56.0
Australia,2021-02-07,47.0,55.0
Australia,2021-02-14,28.0,63.0
Australia,2021-02-21,44.0,65.0
Australia,2021-02-28,64.0,62.0
Australia,2021-03-07,83.0,57.0
Australia,2021-03-14,79.0,64.0
Australia,2021-03-21,63.0,67.0
Australia,2021-03-28,89.0,57.0
Australia,2021-04-04,57.0,54.0
Australia,2021-04-11,114.0,56.0
