Category: All categories

Week,WFH: (Spain)
2020-01-26,6
2020-02-02,6
2020-02-09,0
2020-02-16,0
2020-02-23,17
2020-03-01,11
2020-03-08,53
2020-03-15,100
2020-03-22,55
2020-03-29,30
2020-04-05,37
2020-04-12,50
2020-04-19,34
2020-04-26,15
2020-05-03,29
2020-05-10,34
2020-05-17,41
2020-05-24,16
2020-05-31,10
2020-06-07,30
2020-06-14,21
2020-06-21,11
2020-06-28,6
2020-07-05,24
2020-07-12,24
2020-07-19,25
2020-07-26,31
2020-08-02,6
2020-08-09,18
2020-08-16,25
2020-08-23,24
2020-08-30,12
2020-09-06,12
2020-09-13,40
2020-09-20,51
2020-09-27,17
2020-10-04,18
2020-10-11,6
2020-10-18,18
2020-10-25,18
2020-11-01,6
2020-11-08,12
2020-11-15,18
2020-11-22,6
2020-11-29,6
2020-12-06,12
2020-12-13,6
2020-12-20,0
2020-12-27,6
2021-01-03,12
2021-01-10,24
2021-01-17,12
2021-01-24,17
2021-01-31,24
2021-02-07,6
2021-02-14,12
2021-02-21,18
2021-02-28,24
2021-03-07,49
2021-03-14,6
2021-03-21,38
2021-03-28,7
2021-04-04,18
2021-04-11,0
2021-04-18,18
2021-04-25,24
2021-05-02,12
2021-05-09,30
2021-05-16,6
2021-05-23,19
2021-05-30,6
2021-06-06,6
2021-06-13,19
2021-06-20,7
2021-06-27,0
2021-07-04,20
2021-07-11,20
2021-07-18,14
2021-07-25,0
2021-08-01,7
2021-08-08,0
2021-08-15,7
2021-08-22,7
2021-08-29,21
2021-09-05,50
2021-09-12,7
2021-09-19,7
2021-09-26,7
2021-10-03,0
2021-10-10,30
2021-10-17,28
2021-10-24,14
2021-10-31,22
2021-11-07,22
2021-11-14,21
2021-11-21,20
2021-11-28,7
2021-12-05,8
2021-12-12,0
2021-12-19,18
2021-12-26,18
2022-01-02,17
2022-01-09,16
2022-01-16,0
2022-01-23,8
2022-01-30,26
2022-02-06,52
2022-02-13,0
2022-02-20,26
2022-02-27,8
2022-03-06,17
2022-03-13,16
2022-03-20,17
2022-03-27,8
2022-04-03,7
2022-04-10,37
