Category: All categories

Week,WFH: (Mexico)
2020-01-26,9
2020-02-02,0
2020-02-09,0
2020-02-16,9
2020-02-23,0
2020-03-01,9
2020-03-08,44
2020-03-15,100
2020-03-22,66
2020-03-29,41
2020-04-05,85
2020-04-12,36
2020-04-19,69
2020-04-26,8
2020-05-03,39
2020-05-10,24
2020-05-17,39
2020-05-24,38
2020-05-31,0
2020-06-07,25
2020-06-14,17
2020-06-21,0
2020-06-28,0
2020-07-05,19
2020-07-12,19
2020-07-19,39
2020-07-26,29
2020-08-02,19
2020-08-09,18
2020-08-16,0
2020-08-23,0
2020-08-30,8
2020-09-06,32
2020-09-13,16
2020-09-20,0
2020-09-27,32
2020-10-04,24
2020-10-11,8
2020-10-18,0
2020-10-25,17
2020-11-01,17
2020-11-08,25
2020-11-15,0
2020-11-22,8
2020-11-29,8
2020-12-06,26
2020-12-13,27
2020-12-20,22
2020-12-27,11
2021-01-03,29
2021-01-10,9
2021-01-17,0
2021-01-24,0
2021-01-31,0
2021-02-07,17
2021-02-14,0
2021-02-21,17
2021-02-28,8
2021-03-07,0
2021-03-14,9
2021-03-21,18
2021-03-28,33
2021-04-04,30
2021-04-11,0
2021-04-18,0
2021-04-25,9
2021-05-02,0
2021-05-09,0
2021-05-16,9
2021-05-23,0
2021-05-30,9
2021-06-06,0
2021-06-13,0
2021-06-20,19
2021-06-27,10
2021-07-04,10
2021-07-11,30
2021-07-18,11
2021-07-25,0
2021-08-01,0
2021-08-08,0
2021-08-15,0
2021-08-22,0
2021-08-29,0
2021-09-05,0
2021-09-12,11
2021-09-19,10
2021-09-26,0
2021-10-03,0
2021-10-10,10
2021-10-17,0
2021-10-24,10
2021-10-31,0
2021-11-07,10
2021-11-14,10
2021-11-21,19
2021-11-28,0
2021-12-05,31
2021-12-12,0
2021-12-19,13
2021-12-26,25
2022-01-02,10
2022-01-09,19
2022-01-16,29
2022-01-23,29
2022-01-30,10
2022-02-06,10
2022-02-13,10
2022-02-20,10
2022-02-27,0
2022-03-06,0
2022-03-13,20
2022-03-20,41
2022-03-27,9
2022-04-03,9
2022-04-10,11
